"Accession"	"TotLen"	"CDSFrst"	"CDSLast"
"NM_001039092"	8475	98	1561
"NM_175551"	8473	328	7098
"NM_172775"	8466	114	6473
"NM_021521"	8464	171	6743
"NM_009375"	8462	23	8323
"NM_029274"	8457	10	8151
"NM_021544"	8452	223	6285
"NM_178880"	8451	85	7419
"NM_175179"	8448	256	3654
"NM_009952"	8431	226	1251
"NM_008130"	8428	432	5183
"NM_172739"	8393	714	5213
"XM_914270"	8392	308	7435
"XM_894673"	8391	308	7435
"NM_133828"	8389	226	1209
"XM_975833"	8382	1	7593
"XM_907708"	8382	1	7593
"NM_054078"	8369	156	5819
"NM_011855"	8365	96	8291
"NM_011211"	8360	115	4641
"NM_175251"	8356	71	4987
"NM_019923"	8347	35	8140
"NM_133919"	8323	168	3824
"NM_001080798"	8312	133	3813
"NM_010233"	8312	190	7623
"NM_019827"	8303	1524	2786
"NM_011204"	8298	351	7706
"NM_018733"	8287	188	6184
"NM_138651"	8277	188	1522
"NM_175836"	8265	47	7138
"NM_133906"	8261	236	1921
"NM_009806"	8260	476	3169
"NM_010880"	8257	233	2356
"NM_021287"	8254	445	7611
"NM_010586"	8248	35	8041
"NM_011602"	8233	160	7785
"NM_008960"	8229	869	2080
"NM_011445"	8227	170	2653
"NM_134437"	8220	104	2320
"NM_008678"	8213	223	4611
"NM_021415"	8213	318	7397
"NM_175258"	8212	204	5009
"NM_145125"	8201	127	7041
"NM_172268"	8195	115	6372
"NM_001025560"	8193	262	2619
"NM_201637"	8190	1	7749
"NM_172868"	8178	90	1220
"NM_001038999"	8175	222	3716
"NM_001080819"	8175	1	6852
"NM_009351"	8163	167	8056
"NM_175238"	8162	49	7305
"NM_138673"	8152	62	7741
"NM_009727"	8130	222	3671
"NM_030732"	8127	416	1960
"NM_001007576"	8122	241	3567
"NM_001081251"	8117	312	5426
"NM_001039376"	8114	38	7072
"NM_019472"	8098	461	6649
"NM_008224"	8093	313	6450
"NM_172772"	8081	129	1934
"NM_001081153"	8081	1	6633
"NM_146016"	8080	669	6545
"NM_007379"	8061	97	7398
"NM_145525"	8055	473	3376
"NM_175549"	8047	1	4527
"XM_001480423"	8036	258	3143
"NM_029869"	8036	230	1696
"NM_009671"	8034	24	3533
"NM_009072"	8012	213	4379
"NM_001077695"	8006	223	4404
"NM_001037099"	7981	253	1812
"NM_175013"	7981	54	1757
"NM_001001182"	7980	323	6694
"NM_182698"	7953	89	7009
"NM_008716"	7943	60	7016
"NM_172471"	7942	124	2982
"NM_138672"	7931	81	7796
"NM_007578"	7929	282	7388
"NM_001079883"	7923	272	2926
"NM_019994"	7922	401	6508
"NM_001081039"	7910	105	6446
"NM_175164"	7899	332	2776
"NM_001003719"	7891	401	6652
"NM_146123"	7884	255	1715
"XM_916970"	7880	138	5984
"XM_619495"	7873	138	5978
"NM_198294"	7873	277	5847
"NM_001039546"	7862	216	4004
"NM_148925"	7838	367	4680
"NM_001001932"	7836	287	4522
"NM_022723"	7824	116	3082
"NM_201639"	7819	66	4748
"NM_001081335"	7818	153	7715
"NM_013672"	7818	101	2446
"NM_173762"	7813	97	7512
"NM_028785"	7810	123	6425
"NM_139300"	7809	55	5907
"NM_198303"	7797	281	3931
"NM_001029850"	7791	583	4998
"NM_177694"	7785	207	2921
"NM_009517"	7784	220	1092
"NM_175260"	7783	300	6230
"NM_178912"	7775	101	6166
"NM_007734"	7765	370	5379
"NM_177171"	7761	206	6322
"NM_013507"	7760	333	3053
"NM_007697"	7751	422	4051
"NM_172668"	7737	1	5718
"NM_007514"	7731	208	2181
"NM_028148"	7724	264	4634
"NM_020260"	7722	363	4640
"XM_986457"	7720	296	4153
"NM_011866"	7717	335	2725
"XM_001005194"	7717	296	4153
"XM_983827"	7716	303	4160
"NM_001081028"	7713	617	5947
"NM_198105"	7709	28	3303
"NM_001044740"	7708	182	2158
"NM_021399"	7707	272	2710
"NM_022887"	7697	221	3703
"NM_177089"	7695	165	2495
"NM_001014288"	7678	195	3959
"NM_007400"	7675	221	2932
"NM_053073"	7674	155	3145
"NM_011273"	7651	211	2298
"NM_011213"	7648	344	6040
"NM_010683"	7642	247	5070
"NM_178256"	7630	95	2041
"NM_009783"	7625	109	6996
"NM_001080755"	7601	441	3173
"NM_177386"	7594	176	3004
"NM_010367"	7589	583	4098
"NM_008982"	7584	347	4063
"NM_019413"	7568	992	5830
"NM_008070"	7568	428	1852
"NM_170687"	7554	645	3929
"XM_001477215"	7541	1	6150
"XM_001478567"	7541	1	6150
"NM_198416"	7539	379	3111
"NM_021041"	7538	218	4858
"NM_001038619"	7534	208	2799
"NM_018748"	7532	169	6885
"XM_922413"	7530	106	3963
"NM_024452"	7529	398	3604
"NM_133780"	7529	314	7387
"XM_904007"	7527	106	3963
"NM_008383"	7521	1	7245
"XM_484614"	7519	106	3963
"NM_008171"	7515	764	5212
"NM_010820"	7515	225	6392
"NM_146078"	7511	128	5395
"NM_172468"	7507	421	1734
"NM_027045"	7500	263	2764
"NM_138659"	7500	316	7323
"NM_001044720"	7499	218	4819
"NM_009234"	7497	305	1492
"NM_007977"	7493	408	7367
"NM_018760"	7492	67	3306
"NM_172549"	7483	463	7026
"NM_009194"	7483	1093	4713
"NM_007715"	7478	389	2956
"XM_125617"	7477	272	6868
"XM_909518"	7477	272	6868
"NM_029888"	7472	500	5722
"NM_001039188"	7469	591	4466
"NM_146191"	7467	241	6285
"NM_199068"	7462	28	2187
"XM_980542"	7461	75	4238
"NM_153153"	7461	66	6578
"NM_145556"	7457	331	1575
"NM_001040131"	7439	126	2732
"NM_001002004"	7439	95	6799
"NM_026830"	7437	559	4434
"NM_011276"	7435	309	2111
"NM_021042"	7433	218	4753
"NM_177364"	7432	84	2810
"NM_198103"	7427	80	2230
"NM_177239"	7420	37	2496
"NM_001081006"	7413	95	6088
"NM_008684"	7388	314	4792
"NM_172937"	7385	196	5046
"NM_001010833"	7372	186	5312
"NM_022410"	7371	179	6061
"NM_011376"	7368	246	2333
"NM_145962"	7365	426	1538
"NM_027569"	7365	181	4104
"NM_011511"	7362	218	4858
"NM_080793"	7356	267	1367
"NM_007424"	7355	134	6532
"NM_026375"	7353	327	7058
"NM_001039156"	7352	613	6657
"XM_001477293"	7349	202	3891
"NM_009021"	7348	529	6198
"NM_001080780"	7341	612	3833
"NM_173390"	7335	639	5402
"NM_007896"	7330	137	943
"NM_021323"	7319	1259	3868
"NM_001042752"	7307	314	4711
"NM_172696"	7305	134	5638
"NM_011586"	7304	52	6159
"NM_001080926"	7296	155	2767
"XM_126172"	7290	1	4020
"NM_009384"	7289	504	5279
"NM_019973"	7287	85	6465
"NM_007729"	7275	362	5776
"NM_139311"	7271	161	3400
"NM_001001984"	7268	827	4312
"NM_007378"	7268	88	7020
"NM_139001"	7256	31	7014
"NM_011807"	7252	222	2780
"NM_001081756"	7246	377	6106
"NM_153167"	7226	68	1768
"NM_138579"	7214	613	6519
"NM_001035533"	7212	514	3195
"NM_015756"	7210	233	6175
"NM_198248"	7208	98	3874
"NM_009741"	7206	1411	2121
"NM_009158"	7203	567	1835
"NM_001081567"	7198	567	1961
"NM_146019"	7194	36	6101
"NM_173185"	7183	421	1800
"NM_175155"	7183	213	3905
"NM_001039347"	7182	466	2376
"NM_001083320"	7179	619	4386
"NM_030706"	7177	282	2516
"NM_001035532"	7173	514	3156
"NM_009441"	7172	12	5951
"NM_011062"	7170	130	1809
"NM_007579"	7167	106	6972
"NM_007495"	7162	225	4109
"NM_175489"	7152	460	3129
"NM_001001979"	7148	274	3717
"NM_007789"	7147	91	3897
"NM_001004761"	7143	690	4292
"NM_010600"	7143	137	3106
"NM_177343"	7128	428	1585
"NM_001037764"	7125	306	5975
"NM_031875"	7119	105	6098
"NM_001003717"	7115	549	3092
"NM_177393"	7115	369	5588
"NM_001081183"	7115	86	5671
"NM_177231"	7112	294	1550
"NM_172484"	7107	442	5967
"NM_023525"	7106	145	6822
"NM_021450"	7105	236	5827
"NM_015742"	7100	171	6056
"NM_178220"	7088	294	1526
"NM_177879"	7077	243	6044
"NM_001012765"	7068	1223	5011
"NM_008441"	7066	340	3792
"NM_001038607"	7062	137	3025
"NM_011235"	7062	197	1186
"NM_011132"	7062	1	6852
"NM_009723"	7060	575	4171
"NM_198418"	7057	145	6549
"NM_009386"	7046	404	5641
"NM_026082"	7043	154	6450
"NM_080457"	7038	312	6653
"NM_010918"	7026	145	4506
"XM_914632"	7025	1	6111
"XM_001480065"	7024	1	4272
"XM_001003082"	7023	1	6108
"NM_008745"	7022	602	2032
"NM_175750"	7022	983	6655
"NM_138657"	7015	92	1831
"NM_001044386"	7012	438	2837
"NM_029752"	7001	95	856
"NM_018815"	6998	11	5671
"NM_026283"	6997	77	1513
"NM_018732"	6995	280	6303
"NM_009649"	6994	514	2901
"NM_153399"	6982	433	4728
"NM_148931"	6982	159	2534
"NM_011632"	6981	184	1887
"NM_030554"	6977	264	920
"NM_019806"	6969	123	854
"NM_001077707"	6966	196	5220
"NM_173030"	6966	513	2183
"NM_009670"	6966	645	3341
"NM_008883"	6964	178	5796
"NM_011945"	6963	15	4496
"NM_145221"	6961	98	2221
"NM_011768"	6944	370	2769
"NM_011941"	6943	354	4865
"NM_011436"	6938	177	6824
"NM_153516"	6933	178	1482
"NM_001025428"	6931	161	3670
"XM_915056"	6930	167	4903
"NM_022721"	6930	872	2629
"XM_989868"	6930	167	4903
"XM_001476670"	6928	1	4176
"NM_001025429"	6928	161	3667
"NM_008728"	6927	36	1646
"NM_207653"	6926	506	1951
"NM_176999"	6926	100	4524
"NM_001036684"	6925	440	4036
"NM_017479"	6925	357	5648
"NM_001039181"	6924	36	1643
"NM_001025430"	6916	161	3655
"NM_001077495"	6915	622	2796
"NM_207663"	6913	66	3842
"NM_183355"	6910	755	2047
"NM_026748"	6909	265	6645
"NM_001048206"	6906	184	1812
"NM_178280"	6903	43	3789
"NM_018744"	6901	670	3765
"NM_001037098"	6893	707	2467
"NM_207239"	6891	12	6317
"NM_008829"	6889	636	3416
"NM_021881"	6887	649	1626
"NM_013825"	6883	34	5205
"NM_001077596"	6881	429	5846
"NM_177606"	6880	78	4553
"NM_011348"	6877	635	2962
"XM_909777"	6876	312	5030
"XM_620148"	6876	312	5030
"NM_001082553"	6876	163	819
"NM_008449"	6867	349	3219
"NM_010617"	6866	98	5347
"NM_021604"	6866	36	5636
"NM_008445"	6849	850	3240
"NM_013540"	6841	408	3059
"NM_172430"	6841	156	5132
"NM_001083806"	6841	408	3059
"NM_001077694"	6836	326	6625
"NM_011607"	6834	127	6186
"NM_001077595"	6832	380	5797
"NM_172859"	6831	128	2464
"NM_031174"	6828	460	6501
"NM_001042659"	6823	765	2522
"NM_172695"	6815	223	2607
"NM_173182"	6812	61	3684
"NM_001077265"	6810	315	1382
"NM_175255"	6798	662	3934
"NM_009183"	6786	334	1413
"NM_144835"	6776	129	6560
"NM_020027"	6772	66	6542
"NM_027652"	6769	142	1338
"XM_987372"	6769	1	6208
"XM_129214"	6768	1	6207
"NM_011997"	6763	256	6144
"NM_001079844"	6762	622	2319
"NM_053242"	6760	660	2804
"NM_026599"	6754	110	4003
"NM_001077266"	6753	315	1325
"NM_019825"	6742	33	6236
"NM_001035239"	6742	3	5168
"NM_001035240"	6742	3	5168
"NM_177214"	6740	91	6501
"NM_001077403"	6739	889	3684
"NM_011218"	6734	126	5840
"NM_001081322"	6733	136	5364
"NM_011821"	6732	622	2289
"NM_172684"	6727	332	2719
"NM_001077404"	6724	889	3669
"XM_905029"	6723	1	3435
"NM_011386"	6717	726	2753
"NM_198671"	6715	289	3921
"NM_025301"	6712	107	637
"NM_019919"	6712	358	5496
"NM_001035241"	6712	3	5138
"NM_008697"	6708	141	6248
"NM_001035242"	6706	3	5132
"NM_010939"	6688	889	3633
"NM_001081364"	6687	54	5894
"NM_029436"	6683	243	2045
"NM_001035243"	6676	3	5102
"NM_001077405"	6673	889	3618
"NM_001081409"	6670	314	3355
"NM_023662"	6669	211	6288
"NM_031997"	6667	540	4691
"NM_001024840"	6665	514	2577
"NM_001009947"	6665	100	6321
"NM_007516"	6663	315	1235
"NM_001024838"	6662	487	2574
"NM_010899"	6660	93	2876
"NM_011780"	6656	308	2797
"NM_170730"	6656	515	3031
"NM_023066"	6652	217	2442
"NM_177034"	6649	288	2816
"NM_201600"	6647	163	5619
"NM_021469"	6643	130	6432
"NM_001002272"	6640	118	6381
"NM_011256"	6639	202	4047
"NM_010740"	6638	112	2046
"NM_001024839"	6635	514	2547
"NM_032394"	6627	119	6460
"NM_029361"	6623	256	6453
"NM_001024837"	6619	396	2531
"NM_027373"	6617	225	2420
"NM_007737"	6615	369	4862
"NM_172790"	6615	100	3330
"NM_010956"	6614	124	3195
"NM_172284"	6612	111	1550
"NM_181415"	6607	310	4446
"NM_013850"	6607	1	6480
"NM_001077267"	6606	315	1178
"NM_010929"	6604	152	6046
"NM_133762"	6604	272	3688
"NM_001005868"	6602	327	4679
"NM_146155"	6602	651	5435
"NM_133199"	6598	2	5527
"NM_001014976"	6597	100	6456
"NM_130895"	6589	396	2501
"NM_001033759"	6585	458	4609
"NM_080708"	6585	240	3656
"NM_001039090"	6579	726	2615
"NM_001024602"	6578	177	4901
"NM_177030"	6577	48	6383
"NM_001083316"	6570	197	3466
"NM_018872"	6563	183	5816
"NM_001081252"	6562	94	4656
"NM_001001160"	6562	493	3114
"NM_019796"	6559	355	2043
"NM_001042558"	6557	669	4418
"NM_001005863"	6554	410	4042
"NM_177078"	6554	36	2102
"NM_011058"	6553	180	3449
"NM_172122"	6538	83	6112
"NM_001001985"	6529	861	1760
"NM_027375"	6528	41	5083
"NM_153417"	6520	49	6135
"NM_009826"	6518	451	5217
"NM_001008545"	6516	331	1245
"NM_009684"	6514	626	4375
"NM_009931"	6512	132	5141
"NM_054043"	6505	140	1180
"NM_008541"	6504	191	1588
"NM_001002268"	6501	122	3619
"XM_912589"	6499	237	5765
"XM_001003435"	6499	237	5765
"NM_030180"	6495	740	5506
"NM_057172"	6491	136	2064
"NM_001003899"	6489	331	1218
"NM_028523"	6487	222	2531
"NM_018824"	6487	245	2191
"NM_010193"	6482	298	2181
"NM_011721"	6473	227	4432
"NM_199323"	6471	165	1271
"NM_028385"	6470	191	4516
"NM_009764"	6469	27	5465
"NM_008881"	6466	265	5949
"NM_134013"	6454	209	5740
"NM_028185"	6453	24	1109
"NM_013855"	6453	538	5652
"NM_028099"	6451	133	1098
"NM_021464"	6447	249	4556
"NM_181277"	6445	272	5656
"NM_175091"	6444	26	3988
"NM_145979"	6438	178	5925
"NM_001081179"	6437	99	6311
"NM_009274"	6436	208	2256
"NM_012000"	6432	700	1566
"NM_170593"	6430	44	4081
"NM_001003909"	6429	413	3670
"NM_001008546"	6428	331	1239
"NM_212435"	6423	323	2467
"NM_178930"	6422	246	5831
"NM_001082414"	6410	234	2603
"NM_019434"	6400	351	6266
"NM_001081154"	6398	191	5401
"NM_025276"	6398	95	6202
"NM_009461"	6395	115	5388
"NM_001001602"	6392	635	3625
"NM_009616"	6388	128	2890
"NM_011426"	6387	668	5755
"NM_172516"	6385	154	2937
"NM_153319"	6381	107	2788
"NM_001039581"	6380	465	5579
"NM_021563"	6380	327	4457
"NM_033560"	6379	327	1520
"NM_028021"	6376	7	5985
"NM_001081413"	6374	281	5086
"NM_026495"	6370	184	1944
"NM_054085"	6369	31	5073
"NM_009134"	6368	36	5909
"NM_175535"	6365	157	3705
"NM_178922"	6360	218	2077
"NM_010264"	6359	390	1877
"NM_175045"	6358	277	5454
"NM_175515"	6353	98	2926
"NM_133769"	6352	149	3910
"NM_183016"	6352	89	5230
"NM_001039179"	6351	123	2678
"NM_145823"	6350	783	1589
"NM_028717"	6348	123	5078
"XM_622716"	6346	109	3633
"NM_146001"	6345	429	3149
"NM_008173"	6345	14	2392
"XM_907577"	6344	109	3633
"NM_001038621"	6338	184	1296
"NM_152895"	6338	145	4779
"NM_177186"	6333	483	1700
"NM_008569"	6331	253	6087
"NM_172749"	6330	491	5857
"NM_172537"	6330	820	3855
"NM_007936"	6328	58	3018
"XM_001479840"	6326	37	5715
"XM_001478000"	6326	37	5715
"NM_030166"	6326	505	2421
"NM_172271"	6326	501	2675
"NM_178045"	6325	101	1069
"NM_207650"	6321	340	2388
"NM_178362"	6320	495	3311
"NM_177167"	6315	92	2341
"NM_001003815"	6308	312	2912
"NM_001039089"	6300	127	2499
"NM_013510"	6298	263	2902
"NM_207671"	6297	119	6196
"NM_026574"	6296	295	4974
"NM_183191"	6296	138	5060
"NM_008688"	6295	69	1388
"NM_026681"	6292	153	6182
"NM_010228"	6280	255	4256
"NM_008909"	6277	139	5403
"NM_007736"	6276	145	5220
"NM_147220"	6268	254	5125
"NM_011077"	6265	531	2780
"NM_007407"	6260	469	1959
"NM_172752"	6259	343	4161
"NM_012026"	6259	105	5207
"NM_133808"	6252	199	4005
"NM_001081023"	6251	1	5559
"NM_001039087"	6251	284	3958
"NM_031494"	6246	271	1665
"NM_025617"	6243	171	794
"NM_198298"	6240	97	5994
"NM_007513"	6237	256	2124
"NM_153774"	6236	62	3184
"NM_172606"	6236	217	2946
"NM_001039086"	6233	284	3940
"NM_031179"	6232	138	4052
"NM_172475"	6228	240	3335
"NM_178405"	6227	173	3235
"NM_174991"	6227	899	5647
"NM_178242"	6226	361	5628
"NM_146157"	6226	28	3021
"NM_178936"	6224	250	1080
"NM_001006664"	6220	185	2824
"NM_026756"	6218	69	1355
"NM_010303"	6217	181	1314
"NM_001039200"	6217	28	3012
"NM_013607"	6214	105	5921
"NM_001081030"	6214	196	5823
"NM_013836"	6212	186	6083
"NM_009738"	6209	290	2101
"NM_007758"	6207	106	3204
"NM_133236"	6204	292	1908
"NM_001081373"	6203	259	4674
"NM_178080"	6200	417	3773
"NM_029928"	6199	131	6127
"NM_031185"	6198	142	5196
"NM_145468"	6196	261	1325
"NM_001005605"	6192	7	1497
"NM_001081445"	6192	341	2887
"NM_001081022"	6191	67	4899
"NM_176958"	6190	25	1074
"NM_009071"	6187	476	4540
"NM_009932"	6184	137	5260
"NM_198423"	6178	177	3752
"NM_001003908"	6178	204	5231
"NM_008983"	6177	262	4635
"NM_207636"	6177	326	3922
"NM_020043"	6176	1	3759
"NM_001025372"	6176	469	1875
"NM_001081078"	6166	16	5811
"NM_009320"	6161	270	2135
"NM_001005608"	6160	441	5849
"NM_028975"	6160	181	924
"NM_011878"	6157	312	5459
"NM_015734"	6156	132	5648
"NM_001003955"	6156	107	4063
"NM_001025568"	6154	477	2372
"NM_183262"	6151	392	1600
"NM_011344"	6150	127	2349
"NM_177369"	6149	185	5998
"NM_011647"	6147	122	5479
"NM_133352"	6144	151	1914
"NM_016701"	6143	111	5705
"NM_178782"	6142	251	5596
"NM_009088"	6136	91	5244
"NM_027326"	6129	313	2022
"NM_016721"	6124	100	5073
"NM_015802"	6122	280	3558
"NM_133649"	6120	4	3456
"NM_177226"	6116	516	3119
"NM_172485"	6112	162	4985
"NM_194262"	6105	291	4235
"NM_153134"	6101	219	1970
"NM_199299"	6100	172	2661
"NM_010840"	6085	114	2078
"NM_008306"	6085	155	2803
"NM_178804"	6083	247	4812
"NM_177814"	6083	314	3322
"NM_008633"	6082	491	3868
"NM_008549"	6080	88	3540
"XM_001479848"	6079	42	5468
"XM_001478010"	6079	42	5468
"NM_025578"	6076	51	566
"NM_177715"	6076	198	1181
"NM_019582"	6075	44	5998
"NM_019982"	6073	318	3206
"NM_027996"	6072	298	5796
"NM_001037863"	6070	151	3540
"NM_172860"	6067	86	1870
"NM_013735"	6066	9	5882
"NM_008997"	6065	225	881
"NM_009050"	6064	612	3959
"NM_011053"	6062	120	5708
"NM_019831"	6056	718	4830
"NM_001025305"	6056	344	1669
"NM_001081298"	6052	1	4464
"NM_001008231"	6045	194	3541
"NM_153389"	6042	259	4509
"NM_007405"	6038	155	3661
"NM_010901"	6032	289	3519
"NM_010485"	6030	232	1212
"NM_177431"	6027	170	5890
"NM_053185"	6021	258	5333
"NM_009334"	6021	255	1634
"NM_152825"	6018	59	2500
"NM_001039363"	6018	122	5350
"NM_001040426"	6018	275	3331
"NM_001039000"	6015	176	3259
"NM_027937"	6013	188	4306
"NM_175428"	6011	280	3564
"NM_133663"	6010	441	5699
"NM_009282"	6010	248	4024
"NM_145527"	6009	268	4944
"NM_007488"	6006	75	2213
"NM_026102"	6004	292	3525
"NM_018805"	6004	398	1570
"NM_172579"	6003	428	5776
"NM_177906"	6002	118	1131
"NM_172406"	6001	162	2903
"NM_011365"	6001	258	5234
"NM_016803"	6000	496	1914
"NM_020508"	6000	242	4444
"NM_011578"	5995	357	2909
"NM_207655"	5983	281	3913
"NM_138301"	5980	446	4969
"NM_001081315"	5973	263	3877
"NM_001039126"	5971	249	1259
"NM_198035"	5970	170	2308
"NM_175331"	5967	106	1746
"NM_025709"	5966	583	4896
"NM_001001798"	5965	151	3501
"NM_133648"	5964	1	3300
"NM_153543"	5959	49	2820
"NM_010917"	5959	12	3749
"NM_008729"	5959	535	4275
"NM_001077712"	5955	371	4066
"NM_011067"	5953	391	3732
"NM_145505"	5952	647	2941
"NM_009152"	5952	652	2970
"NM_130450"	5951	143	946
"NM_194334"	5951	59	2956
"NM_010716"	5945	147	3185
"NM_008576"	5944	37	4623
"NM_021885"	5941	222	1739
"NM_175751"	5937	280	4815
"NM_001037724"	5937	495	3794
"NM_178029"	5934	141	5291
"NM_172518"	5933	265	2418
"NM_178803"	5932	413	1237
"NM_011836"	5930	64	4809
"NM_009297"	5923	185	5365
"NM_153406"	5923	294	3380
"NM_027421"	5922	377	3973
"NM_172381"	5919	229	5751
"NM_007735"	5918	295	5343
"NM_007439"	5918	599	5464
"NM_008217"	5918	174	1838
"NM_011845"	5916	25	2082
"NM_199028"	5915	245	2722
"NM_008379"	5909	308	2938
"NM_009209"	5903	19	1872
"NM_029653"	5903	275	4567
"NM_026081"	5900	1470	5513
"NM_053099"	5892	66	4673
"NM_018788"	5886	554	3313
"NM_029742"	5883	86	1405
"NM_010681"	5880	290	5740
"NM_173868"	5876	385	3522
"NM_173427"	5871	393	2714
"NM_011749"	5871	427	2811
"NM_001038587"	5870	808	3600
"NM_172621"	5870	328	1083
"NM_172464"	5869	157	3390
"NM_013886"	5868	438	1046
"NM_001081684"	5868	221	3421
"NM_172866"	5868	289	1464
"NM_029770"	5867	417	3254
"NM_183428"	5861	1472	4048
"NM_138677"	5858	100	2058
"NM_007520"	5858	164	2383
"NM_010518"	5854	727	1542
"NM_172409"	5851	276	3527
"NM_007964"	5849	69	2498
"NM_033602"	5849	289	1548
"NM_198122"	5844	291	3974
"NM_001024955"	5843	360	1724
"NM_010050"	5843	155	955
"NM_001005507"	5840	97	3501
"NM_054050"	5837	284	3544
"NM_001040111"	5837	247	4572
"NM_011887"	5837	53	5350
"NM_194464"	5835	173	2743
"NM_011812"	5832	309	1655
"NM_011416"	5831	111	4862
"NM_013625"	5831	860	2092
"NM_029879"	5828	717	1490
"NM_026380"	5827	504	1046
"NM_013790"	5826	200	4510
"NM_008037"	5825	171	1151
"NM_001002764"	5817	45	4301
"NM_021465"	5815	231	3926
"NM_011066"	5814	143	3916
"NM_001081300"	5814	1160	4414
"NM_198702"	5812	514	5145
"NM_001004359"	5811	1381	5424
"NM_001024703"	5810	194	2830
"NM_001008533"	5807	1073	2053
"NM_007726"	5807	590	2011
"NM_011580"	5802	183	3698
"NM_008626"	5801	142	4581
"NM_170597"	5799	243	1109
"NM_198300"	5792	73	2223
"NM_178655"	5790	268	3420
"NM_011197"	5786	27	2666
"NM_009177"	5784	989	2002
"NM_145436"	5783	232	2709
"NM_001001309"	5782	139	3327
"NM_009682"	5781	25	606
"NM_001081195"	5780	248	4033
"NM_008482"	5778	128	5632
"NM_001003898"	5777	331	1227
"NM_026343"	5777	103	1008
"NM_177839"	5773	95	4777
"NM_009829"	5772	276	1145
"NM_023046"	5772	74	1060
"NM_130879"	5766	195	3353
"NM_027946"	5765	253	1281
"NM_028162"	5764	334	2781
"NM_019445"	5762	217	4920
"NM_080459"	5757	79	5508
"NM_008744"	5757	282	2096
"NM_008679"	5757	221	4432
"NM_009594"	5755	56	3427
