Accession	TotLen	CDSFrst	CDSLast
NM_020673	8702	263	847
NM_006836	8699	14	8029
NM_138959	8691	272	1846
NM_003386	8689	166	8604
NM_004958	8680	80	7729
NM_014048	8680	156	3305
NM_001085377	8679	417	3476
NM_015295	8672	190	6207
NM_032932	8665	230	2143
NM_004999	8662	280	4137
NM_173595	8656	91	3321
NM_015384	8648	376	8469
NM_139321	8645	80	4369
NM_198468	8643	267	3998
NM_000068	8641	237	7037
NM_020336	8636	258	4742
NM_001813	8630	91	8196
NM_000573	8629	141	6260
NM_001007466	8622	1358	3394
NM_015042	8618	1	4236
NM_000368	8617	235	3729
NM_014844	8607	149	4384
NM_007110	8595	42	7925
NM_006015	8585	374	7231
NM_001042355	8584	279	3140
NM_007174	8576	54	6137
NM_004859	8575	444	5471
NM_024503	8571	913	8133
NM_000428	8568	388	5853
NM_032608	8565	251	7954
NM_002270	8559	148	2844
NM_001077261	8550	157	7545
NM_012330	8550	494	6715
XM_001129399	8531	101	1417
NM_015446	8526	8	6808
NM_001004342	8522	43	2394
NM_006544	8522	252	2378
NM_024513	8521	207	4643
NM_173582	8519	297	2165
NM_176877	8505	115	5520
NM_000335	8501	195	6242
NM_014668	8482	301	6150
NM_004104	8481	118	7653
NM_001102608	8475	32	6823
NM_194314	8474	70	2799
NM_020818	8471	656	8032
NM_014727	8469	1	8148
NM_152641	8466	1	5508
NM_014388	8463	77	2347
NM_023073	8459	780	7067
NM_022455	8458	46	8136
NM_015215	8457	208	5229
NM_003235	8453	42	8348
NM_002026	8449	267	7334
NM_016284	8449	294	7424
NM_001002860	8448	327	3725
NM_152424	8443	274	3681
NM_000093	8439	383	5899
NM_014494	8438	115	6003
NM_005334	8436	529	6636
XM_001715003	8432	1	6015
NM_144682	8431	193	2886
NM_017662	8429	239	6307
NM_001007525	8418	1480	5769
NM_004241	8415	665	7576
NM_001167	8413	129	1622
NM_001080412	8398	983	4570
NM_018151	8383	131	7549
NM_012214	8382	315	1922
NM_194286	8382	293	2128
NM_052906	8379	787	3249
NM_001100829	8362	1	399
NM_014705	8343	270	6170
NM_015906	8339	85	3468
NM_001083962	8332	613	2628
NM_003298	8330	218	2065
NM_144775	8327	511	3324
XM_001133591	8322	1008	6305
NM_020690	8319	125	7978
NM_198859	8317	587	3121
NM_021224	8306	290	7810
NM_001897	8305	94	7062
NM_002645	8304	67	5127
NM_000037	8300	85	5727
NM_014803	8296	858	5309
NM_015083	8283	587	5032
NM_001456	8278	39	7958
NM_017564	8266	187	7842
NM_001184	8258	123	8057
NM_024963	8253	95	2251
NM_017519	8246	153	6848
NM_007153	8241	150	3653
NM_001104631	8240	173	2602
NM_020375	8237	80	892
NM_001105529	8225	233	3682
NM_003099	8221	37	1605
NM_001135	8217	375	7328
NM_000168	8209	86	4828
NM_001035518	8197	672	7832
NM_017747	8196	125	7753
NM_005504	8191	367	1527
NM_014630	8191	337	4140
NM_006289	8187	91	7716
NM_025054	8176	260	3928
NM_001606	8171	149	7459
XM_001722799	8169	5496	6302
NM_002851	8169	396	7343
NM_022048	8163	481	1749
NM_005596	8159	436	1698
XM_930678	8153	5494	6300
NM_145207	8152	74	2755
NM_019589	8150	125	6565
NM_001077484	8148	770	2233
NM_004774	8148	213	4958
NM_013450	8145	353	6859
NM_033505	8143	148	1341
XM_001134399	8143	5497	5988
NM_007345	8140	199	5736
NM_001080534	8140	1	6645
NM_001025108	8136	145	3900
NM_198551	8123	10	5733
NM_000052	8122	135	4637
NM_006920	8100	19	6015
NM_015657	8097	160	6993
NM_000091	8096	163	5175
NM_017848	8090	84	3374
NM_000435	8089	77	7042
NM_015282	8089	391	5007
NM_000112	8082	269	2488
NM_198465	8080	304	5052
NM_001005407	8079	249	7292
XM_001717325	8071	1	3777
NM_006264	8062	64	7464
NM_017552	8061	295	4671
NM_001025076	8059	308	1780
NM_018958	8053	475	3945
NM_000337	8052	520	1392
NM_016952	8051	129	3923
NM_001098414	8051	217	1536
NM_006393	8034	398	3442
NM_024596	8032	69	2576
NM_001304	8025	16	4158
NM_001042681	8022	626	5326
NM_014345	8021	79	6918
NM_003566	8019	266	4501
XM_001716833	8019	1	2775
NM_003126	8017	200	7459
NM_020935	8015	379	3318
NM_001040429	8009	893	4372
NM_017757	8008	58	6804
NM_005961	8003	52	7371
NM_017990	7999	961	3597
NM_182493	7998	117	2576
NM_002334	7998	147	5864
NM_138468	7996	165	1613
NM_016341	7992	635	7543
NM_014159	7987	1125	7310
NM_005955	7986	142	2403
NM_015073	7984	510	5855
NM_001099734	7982	33	2648
NM_178857	7978	230	7432
NM_025114	7972	345	7784
NM_004505	7971	1700	5920
NM_015325	7966	223	7023
NM_015136	7965	75	7787
NM_001080975	7961	172	2151
NM_016376	7959	39	3551
NM_000264	7957	189	4532
NM_001010891	7950	28	966
NM_006311	7940	241	7563
NM_001079843	7938	321	5600
NM_007137	7933	369	2354
NM_001008844	7933	280	7098
NM_024345	7932	75	1754
NM_022757	7932	4476	6857
NM_006534	7923	206	4468
NM_015020	7919	7	3978
NM_015018	7918	261	7658
NM_001543	7913	388	3036
NM_001040108	7911	217	4578
NM_003127	7909	114	7532
NM_138348	7896	153	1211
NM_020133	7889	228	1364
NM_002293	7889	258	5087
NM_015375	7889	28	2817
NM_001008701	7886	297	4721
NM_173591	7885	1	6843
NM_005065	7885	46	2430
NM_014990	7882	392	6502
NM_002203	7878	144	3689
NM_178822	7872	1	7872
NM_006946	7864	73	7245
NM_006231	7859	45	6905
NM_025081	7857	319	6015
NM_001085471	7856	138	1610
NM_053025	7852	283	6027
NM_001098638	7840	14	2140
NM_020721	7838	1	5130
NM_014763	7827	26	904
NM_018896	7825	373	7506
NM_001103146	7819	198	4097
NM_001040272	7818	128	5416
NM_001010867	7817	3	1073
NM_153456	7817	25	1440
NM_025137	7817	32	7363
XM_001722279	7806	492	5789
NM_000334	7805	78	5588
XM_001128489	7798	249	4115
NM_001100590	7789	380	4567
NM_001077196	7786	152	1621
NM_016052	7782	31	879
NM_001017995	7777	172	2907
NM_017944	7777	764	4627
NM_003644	7773	144	1154
NM_001011666	7772	48	1157
NM_015089	7771	76	7629
NM_133445	7770	602	3949
NM_020337	7763	267	4556
NM_174916	7758	67	5316
NM_006283	7758	321	2738
NM_003615	7757	72	3716
NM_014647	7745	194	5422
NM_182557	7740	966	5465
NM_001005473	7739	103	1068
NM_002840	7733	341	6064
NM_001116	7732	540	4601
NM_001001894	7730	106	6183
NM_001364	7724	304	2916
NM_004586	7723	1	2223
NM_002078	7717	305	6997
XM_001720220	7713	166	3432
NM_017554	7713	60	5465
NM_015278	7709	476	4219
NM_015565	7703	99	5399
NM_022748	7697	368	4705
NM_001034841	7694	503	2110
NM_053002	7694	39	6476
NM_005128	7689	80	6976
NM_001042494	7688	528	3803
NM_001098484	7688	118	3357
NM_001099678	7683	97	1212
NM_018999	7676	195	2699
NM_030665	7668	470	6190
NM_138473	7667	98	2455
NM_001043318	7656	340	3477
NM_001042413	7656	714	3506
XM_001724473	7651	59	2128
NM_006614	7650	272	3946
NM_005076	7650	270	3392
NM_024652	7647	320	6367
NM_015569	7644	160	2751
NM_033394	7644	275	5860
NM_030632	7642	56	6802
NM_001080383	7640	271	1461
NM_001037533	7637	50	6772
NM_000611	7633	116	502
NM_001003407	7620	303	2459
NM_005964	7619	97	6027
NM_002646	7618	480	5384
NM_001012994	7616	149	1462
NM_002160	7616	363	6968
NM_207363	7611	375	6104
NM_144508	7607	162	7112
NM_014910	7604	140	3001
NM_022898	7603	268	2739
NM_006828	7598	330	6938
NM_004719	7596	288	4679
NM_078471	7591	159	6323
NM_001040284	7589	138	1607
NM_015183	7586	69	7373
NM_025153	7582	848	5233
NM_006045	7580	1	3144
XM_001133842	7580	1	4692
NM_052907	7578	9	3245
NM_001002838	7572	440	5671
NM_002430	7569	956	4918
NM_001042424	7568	177	4274
NM_020848	7567	60	4139
NM_024940	7555	138	5750
NM_020122	7555	345	1490
NM_033631	7555	372	3602
NM_001624	7553	488	5659
NM_015268	7551	66	6797
NM_001040000	7551	143	5098
NM_014786	7540	16	6207
NM_017892	7528	23	2815
XM_001720146	7528	317	799
NM_020920	7525	95	7003
NM_001080414	7523	100	6186
NM_015296	7522	56	6265
NM_007203	7522	181	3492
NM_032446	7522	204	3626
NM_005921	7522	502	5040
NM_004035	7514	291	2273
NM_153442	7512	53	1066
NM_018165	7508	4	4812
NM_032199	7507	27	3593
NM_001014380	7506	102	1574
NM_004801	7505	1478	5911
NM_005937	7500	14	3295
XM_001724179	7499	3964	4485
NM_032195	7497	50	6961
NM_004747	7493	71	5830
NM_004145	7488	1	6474
NM_003913	7482	92	3115
NM_020699	7480	245	2026
NM_021638	7479	219	2411
NM_001098402	7479	215	3415
NM_012199	7478	214	2787
NM_002473	7474	185	6067
NM_001033045	7473	392	3004
XM_001713967	7465	1	5217
NM_001080415	7464	100	3189
XM_001714299	7459	1	7266
NM_014934	7457	853	3399
NM_001079802	7456	217	1602
NM_014680	7456	100	6807
NM_194071	7455	396	1958
NM_003829	7454	52	6177
NM_001409	7450	228	4853
NM_000028	7449	479	5077
NM_001080453	7446	1	7146
NM_001649	7445	91	4941
NM_015032	7444	127	4470
NM_014935	7434	318	3464
NM_001008539	7434	23	1999
XM_001714313	7432	1	7165
NM_007018	7431	32	7009
NM_014689	7431	240	6800
NM_015458	7421	399	2048
NM_001099650	7416	226	1455
NM_020825	7413	353	3550
NM_013302	7412	486	2663
NM_005650	7407	135	6017
NM_005665	7403	11	2443
NM_014615	7401	75	3728
NM_203395	7401	141	1010
NM_012193	7391	307	1920
NM_001080398	7391	1	6054
NM_003681	7390	199	1137
NM_030767	7387	163	4482
NM_144966	7387	591	7130
NM_014586	7385	361	2505
NM_014641	7385	441	6710
NM_024524	7384	403	4083
NM_170710	7378	157	4125
NM_012316	7373	89	1699
NM_021035	7371	248	6004
NM_001003698	7370	315	5378
NM_002944	7368	200	7243
NM_014616	7368	258	3791
NM_000260	7367	267	6794
NM_000718	7364	146	7165
NM_014732	7361	221	1456
NM_015230	7360	339	5453
NM_203459	7359	271	4707
NM_002547	7350	639	3047
NM_001042683	7347	400	5463
NM_002850	7347	235	6081
NM_001455	7341	344	2365
NM_207517	7336	225	5300
NM_182920	7335	33	5840
NM_001040441	7333	486	1811
NM_001039580	7333	265	2208
NM_001101802	7332	625	2667
NM_004319	7331	213	4097
NM_017644	7331	296	2098
NM_182758	7326	43	3351
NM_000350	7326	105	6926
NM_014953	7320	37	2913
NM_001032999	7319	147	1934
NM_198576	7319	51	6188
NM_133477	7318	197	3982
NM_002655	7313	481	1983
NM_005385	7312	148	4536
NM_006445	7311	115	7122
NM_014987	7309	232	4281
NM_030962	7306	121	5670
NM_032444	7304	628	6132
NM_001039618	7304	255	1319
NM_052947	7303	215	6727
NM_003023	7299	262	1947
NM_015909	7299	27	7142
NM_001080392	7296	1	1368
NM_000813	7295	219	1643
NM_003489	7292	335	3811
NM_001854	7291	319	5739
NM_018121	7291	543	4064
NM_032142	7289	1180	7005
NM_197941	7289	815	4168
NM_015097	7289	355	4875
NM_001001890	7288	1579	2940
NM_018012	7287	441	6767
NM_001105206	7287	310	5781
NM_015285	7282	212	4684
NM_004412	7281	49	1224
NM_020738	7264	158	5473
NM_000618	7260	167	628
NM_005578	7259	247	2085
NM_203447	7257	102	6197
NM_017672	7255	265	5862
NM_002613	7254	145	1815
NM_004863	7250	189	1877
NM_014989	7248	78	5156
NM_003045	7248	279	2168
NM_005338	7239	42	3155
NM_017813	7239	284	1363
NM_001029884	7237	313	4470
NM_005358	7235	1261	5310
NM_032866	7235	77	3985
NM_014747	7233	470	1396
NM_005156	7230	156	1814
NM_001034954	7226	46	3924
NM_001105251	7224	303	4922
NM_012295	7222	128	6790
NM_152900	7221	182	3559
NM_003870	7219	102	5075
NM_003253	7218	473	5248
NM_002760	7216	341	1174
NM_014191	7215	179	6121
NM_001003712	7213	561	3104
NM_006421	7212	391	5940
XM_929030	7211	101	1825
NM_001017969	7204	217	6528
NM_022841	7203	1	4383
XM_001714583	7196	1	2616
XM_001714910	7193	139	7122
NM_000720	7193	119	6664
NM_001007237	7193	706	4290
NM_024923	7191	84	5747
NM_007294	7191	201	5792
NM_020119	7190	389	3097
NM_001100399	7190	541	4554
NM_018941	7185	306	1166
NM_013231	7185	768	2750
NM_014014	7184	87	6497
NM_001010888	7183	10	2487
NM_006185	7182	173	6520
NM_005054	7182	78	5375
XM_925903	7180	2331	3854
NM_032373	7179	409	1179
NM_018263	7174	222	4529
NM_014994	7174	207	4733
XM_001720943	7168	335	2119
NM_003257	7165	476	5722
NM_001002912	7165	220	4812
NM_006620	7163	194	2248
NM_001013031	7163	9	3605
NM_144982	7158	360	6329
NM_015025	7152	828	4382
NM_001001668	7149	677	2830
NM_173551	7147	22	2637
NM_001080420	7145	1	5244
NM_020937	7143	101	6247
NM_020651	7136	4039	5295
NM_001013659	7136	443	1663
NM_032538	7128	280	4245
NM_001077440	7124	254	2863
NM_001012981	7124	395	3298
NM_000620	7124	686	4990
NM_000254	7122	287	4084
NM_153029	7121	238	2928
NM_001080410	7121	1	2811
NM_015224	7120	925	4626
NM_001939	7118	370	3243
NM_020824	7116	438	6311
NM_001007097	7111	551	1984
NM_206996	7111	55	6726
NM_001389	7110	453	6491
NM_173630	7109	69	6749
NM_000189	7109	1927	4680
NM_004341	7108	163	6840
NM_001520	7106	41	6370
NM_005957	7105	185	2155
NM_012287	7102	177	2513
NM_006269	7100	149	6619
NM_002673	7097	60	6467
NM_001008224	7096	367	4578
NM_001001419	7096	445	1842
NM_018225	7091	109	1650
NM_183387	7091	187	6120
NM_018717	7086	753	4154
NM_030918	7085	17	1603
NM_017712	7084	85	714
NM_001821	7082	165	2135
NM_018689	7080	261	4346
NM_018373	7074	128	565
NM_014981	7074	58	5898
NM_001102653	7068	139	3288
NM_012288	7065	150	1262
NM_033407	7063	35	6364
NM_001033057	7062	527	4915
NM_014071	7062	323	6514
NM_002499	7057	143	4528
NM_003972	7054	99	5648
NM_025248	7050	226	3777
NM_001018089	7049	487	3024
NM_001007094	7047	820	2505
NM_015338	7047	427	5052
NM_018672	7044	1219	6147
NM_020802	7043	271	3624
NM_001160	7042	578	4162
NM_020338	7041	71	3274
NM_002210	7037	267	3413
NM_004758	7033	198	5771
NM_004834	7033	56	3556
NM_172239	7032	1	2028
NM_172069	7027	76	4557
NM_032582	7026	287	5101
NM_017925	7023	34	5055
NM_033056	7021	396	6263
NM_001024956	7019	222	1121
NM_002959	7018	50	2545
NM_003749	7014	515	4531
NM_020722	7013	392	4093
NM_030648	7012	287	1387
NM_005095	7011	81	4727
NM_001080530	7011	57	1343
NM_001098482	7009	89	2041
NM_001083	7005	156	2783
NM_052885	7003	109	1998
NM_001012957	7003	54	2552
NM_080872	7002	56	2902
NM_015077	7001	68	2242
NM_001031695	6997	366	1508
NM_003895	6997	44	4765
NM_003574	6994	300	1184
NM_005120	6985	200	6733
NM_015103	6977	101	5878
NM_001007278	6975	419	1651
NM_001039937	6973	162	2786
XM_001716253	6970	1	3972
NM_014708	6965	164	6793
NM_015912	6962	172	4392
NM_004273	6961	441	1880
NM_020719	6960	1	6111
NM_173468	6960	191	841
XM_001721252	6959	1548	2156
NM_001033602	6957	59	4198
NM_001006657	6957	109	3654
NM_005116	6953	376	2328
NM_001001323	6950	182	3712
NM_015153	6947	27	6146
NM_018728	6946	138	5366
NM_001040113	6942	108	5945
NM_020318	6940	1165	6540
NM_053042	6936	488	3712
NM_001941	6935	156	2846
NM_015144	6932	28	2877
NM_030627	6930	549	2738
NM_000393	6930	276	4775
NM_017902	6928	76	1125
NM_004522	6927	369	3242
NM_002349	6927	70	5238
NM_004327	6927	597	4412
NM_052966	6926	195	2981
NM_020760	6926	184	4902
NM_052867	6923	190	5406
NM_080686	6921	250	6723
NM_015064	6919	407	3253
NM_001030288	6915	137	1339
NM_001099220	6913	193	3702
NM_017919	6910	137	1045
NM_001042404	6910	409	4869
NM_001039840	6909	138	812
NM_003494	6907	370	6612
NM_015635	6906	161	4624
NM_003105	6906	123	6767
NM_007113	6900	1	5832
NM_080867	6900	437	1759
NM_020693	6899	3	6344
NM_014838	6897	471	3986
NM_003743	6895	259	4584
NM_007114	6895	248	3529
NM_020960	6895	177	1835
NM_022763	6894	58	3672
NM_001046	6891	165	3803
XM_001715278	6890	1	4839
NM_002264	6887	187	1803
NM_021615	6885	181	1368
NM_032873	6882	329	2278
NM_012301	6880	255	4622
NM_001002909	6877	65	4573
NM_001042555	6875	504	2030
NM_015011	6874	127	5703
NM_001004065	6866	5	2851
NM_001032394	6864	402	3983
NM_020796	6860	710	3802
NM_173829	6856	153	620
NM_020761	6856	806	4813
NM_001009984	6855	52	3585
NM_006910	6853	1041	6419
NM_017654	6853	257	5026
NM_001030007	6850	315	2792
NM_032828	6845	139	1866
NM_015267	6841	154	4614
NM_015052	6839	606	5426
XM_001134398	6837	5497	6837
NM_001080437	6834	1	4242
NM_006648	6834	1	6654
NM_019112	6834	232	6672
XM_001720239	6833	217	3399
NM_014635	6833	314	5065
NM_001040445	6833	87	1094
NM_001077186	6831	48	6059
NM_016604	6830	201	5486
NM_013451	6829	89	6274
NM_001080517	6827	436	4764
NM_019067	6826	140	1888
NM_015432	6826	2536	6111
NM_014247	6824	311	4810
NM_030623	6824	29	5044
NM_032206	6822	226	5826
NM_012293	6821	65	4504
NM_001001331	6821	320	4051
NM_014840	6821	1381	3366
XM_001722569	6819	4394	6493
NM_014801	6817	236	6649
NM_001010870	6817	1	6291
NM_015995	6817	334	1200
NM_014915	6816	173	5305
NM_001100390	6813	185	2224
NM_015094	6812	231	2078
NM_014809	6805	526	3744
NM_018027	6804	353	3472
NM_001005271	6799	44	6181
NM_152787	6798	664	2802
NM_019044	6794	127	2022
NM_032826	6794	301	1296
NM_019024	6792	97	6312
NM_001037332	6791	432	4193
NM_018072	6791	126	6560
NM_001830	6789	431	2713
NM_004501	6789	219	2639
NM_003590	6787	389	2695
NM_015226	6786	134	3295
NM_001024457	6786	68	5338
NM_014784	6784	1041	5609
NM_000176	6784	493	2826
NM_012115	6782	197	6145
NM_014701	6779	135	3305
XM_001714789	6777	4957	5346
NM_002006	6774	69	935
NM_152643	6773	2	5251
NM_013447	6771	457	2928
NM_173536	6769	153	1550
NM_004229	6768	141	4505
NM_001018067	6764	141	1367
NM_002718	6762	566	4018
NM_004557	6762	140	6151
NM_017514	6762	173	5788
NM_153810	6758	485	1594
NM_015656	6757	1	5649
NM_020845	6754	140	4189
NM_001012967	6754	222	5342
NM_012465	6753	227	3274
NM_152734	6751	164	1228
NM_001380	6751	65	5662
NM_001099294	6741	134	733
NM_015206	6741	76	2826
NM_001099694	6741	245	2017
NM_021946	6740	115	5250
NM_003898	6738	76	4566
XM_001126120	6738	156	911
NM_023068	6736	1	5130
NM_015271	6734	147	2381
NM_015886	6732	180	956
NM_014687	6732	184	3102
NM_000937	6732	387	6299
NM_015550	6730	406	3069
XM_001722873	6729	1304	4801
XM_001127662	6729	1	6420
NM_004187	6727	534	5216
NM_003174	6725	451	5817
NM_018682	6725	387	5963
XM_001726385	6716	3210	3779
NM_001080527	6715	54	6404
NM_001008938	6714	111	6209
XM_001716694	6710	1	1881
NM_001006600	6709	309	4217
NM_017952	6708	34	2103
NM_001040665	6708	170	1642
NM_012262	6708	359	1429
NM_014867	6706	964	2835
NM_015192	6705	4	3654
NM_001080424	6704	377	5425
NM_006035	6701	233	5368
XM_001125792	6700	827	1558
NM_000347	6695	55	6468
NM_024627	6693	512	1606
NM_152259	6688	1	5733
NM_015553	6687	156	1469
XM_001725674	6687	245	2815
NM_014686	6683	860	4072
NM_016350	6683	335	6625
NM_007347	6682	31	3444
NM_022340	6678	615	2969
NM_001025777	6675	401	4996
XM_001714400	6667	1	6354
NM_004748	6666	134	2407
NM_020752	6663	61	3708
NM_001083617	6661	559	5334
NM_001037132	6659	472	4386
NM_145307	6659	98	1927
NM_001527	6659	1	1749
NM_015348	6657	230	5881
NM_014675	6656	70	6123
NM_003872	6656	792	3572
NM_015065	6655	98	6067
NM_012464	6654	648	3689
NM_001040424	6654	103	3639
NM_001005502	6651	44	1375
NM_005406	6650	942	5006
NM_006187	6646	88	3351
XM_001725001	6645	45	5945
NM_000053	6644	158	4555
NM_015315	6644	25	3084
NM_020066	6644	1	5598
NM_016148	6643	20	6505
NM_012291	6641	92	6454
NM_000245	6641	188	4360
XM_001723469	6641	539	1792
NM_006047	6640	265	3063
NM_144658	6638	64	6285
NM_015425	6637	380	5542
NM_001100398	6635	91	2238
NM_020820	6633	24	5003
NM_012294	6629	314	2506
NM_002941	6629	1	4956
NM_001040152	6628	480	1457
NM_019064	6628	159	5714
NM_001100409	6624	620	3937
NM_001089	6623	713	5827
NM_006371	6622	92	1297
NM_013286	6620	101	2773
NM_000838	6619	236	3820
NM_015202	6618	23	4879
NM_015100	6618	307	4539
NM_015080	6616	440	5578
NM_018177	6616	133	5445
XM_001723047	6615	1680	3107
NM_005085	6614	112	6384
NM_207371	6613	2254	4980
NM_019050	6612	1067	4288
NM_014744	6611	1665	4052
NM_139281	6611	118	2973
NM_005100	6609	190	5538
XM_001714730	6605	1	4635
NM_014614	6605	272	5461
NM_018364	6604	37	2445
NM_001847	6595	104	5179
NM_015270	6594	695	4201
NM_014974	6594	89	4759
NM_001988	6587	229	6330
NM_014875	6586	440	5386
NM_003468	6584	411	2168
NM_032223	6584	1	6105
NM_032532	6578	201	5885
NM_001099270	6577	98	1600
NM_014862	6576	167	2320
NM_001008738	6571	143	3559
NM_015005	6568	303	4757
NM_017658	6568	132	1847
NM_020909	6567	127	2328
NM_144599	6565	26	1015
XM_001714093	6565	101	1711
NM_004996	6564	176	4771
NM_014643	6561	236	3727
NM_000448	6557	125	3256
NM_182487	6556	114	2072
NM_020546	6553	68	3343
NM_021163	6551	520	2664
NM_004536	6551	719	4930
NM_020453	6550	165	4445
NM_005270	6549	189	4949
NM_001845	6549	123	5132
NM_001018058	6544	185	1141
NM_003262	6541	32	1231
NM_032173	6541	166	2676
NM_014906	6540	128	2395
NM_020715	6540	143	4237
NM_007125	6538	1006	5049
NM_001025107	6532	978	3773
NM_024761	6528	497	1147
NM_015207	6523	120	1316
NM_015349	6520	164	3403
NM_001014972	6517	310	6246
NM_005336	6516	373	4179
NM_003043	6516	296	2158
NM_133265	6514	797	2824
NM_004668	6513	55	5628
NM_138286	6513	143	2080
NM_001029882	6512	970	5781
NM_001273	6511	165	5903
NM_080669	6505	97	1476
XM_001714732	6502	1	2094
NM_020808	6501	159	5327
NM_018023	6501	196	4464
NM_152890	6500	43	5187
NM_014139	6500	200	5575
NM_018181	6493	548	4453
NM_000633	6492	494	1213
NM_005577	6489	121	6243
NM_005759	6489	236	1663
NM_015204	6487	253	5226
NM_004857	6487	379	1662
NM_020962	6485	211	3963
NM_017415	6485	129	1892
NM_001098477	6482	406	1362
NM_033393	6480	76	3507
NM_014715	6480	304	5520
NM_001759	6480	270	1139
NM_052879	6478	145	2319
NM_020782	6477	78	1595
NM_004612	6475	77	1588
NM_012431	6474	467	2794
NM_020919	6470	200	5173
NM_015049	6470	382	3126
NM_144578	6469	165	902
NM_005422	6468	1	6468
NM_006380	6468	289	2046
