"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_007759"	"miR-543"	900	"871-892"	"886-891"	"6mer"	0	0	0	0	"886-891"	"878-878"	"871-877"	0.8336	0.851	0.8519	-9.9	0.9018	-0.009	0.689	-0.621	0.8875	0.392	0.9517	0.167	0.9278	0.631	1.3787	0.036	0.8638	0.96	1.2727	0.767	1.641	0.967	0.7152
"NM_007759"	"miR-672"	900	"608-627"	"622-627"	"6mer"	0	0	1	0	"622-627"	"618-620"	"608-617"	1.0293	1.1751	0.8519	-27	0.7386	-2.311	1.2422	-7.823	1.2722	0.432	1.1416	0.473	1.083	0.296	0.8494	0.419	1.1566	0.67	0.7827	0.4	0.6371	0.5	0.9116
"NM_007759"	"miR-708"	900	"765-787"	"782-787"	"offset-6mer"	0	0	0	0	"782-787"	"777-778"	"765-774"	0.5858	0.851	0.5654	-23.1	0.9636	-0.041	0.689	-2.449	0.8848	0.319	0.7915	0.171	0.9278	0.453	1.1204	0.193	0.6686	0.85	0.8077	0.367	0.6371	0.433	0.734
"NM_007759"	"miR-763"	900	"752-785"	"780-785"	"offset-6mer"	0	0	0	0	"780-785"	"778-779"	"752-771"	0.5858	0.851	0.5654	-27.1	0.7386	-0.284	0.689	4.919	0.6206	0.281	0.7489	0.301	0.8969	0.512	1.1941	0.2	0.6686	0.83	0.8077	0.367	0.6371	0.4	0.5771
"NM_024428"	"miR-101a"	800	"543-559"	"553-558"	"7mer-A1"	0	1	0	0	"549-558"	"548-548"	"543-545"	1.4555	0.851	1.5179	-16.8	1.048	-0.17	0.689	-2.112	0.8848	0.369	0.9517	0.357	0.8846	0.757	1.3047	0.198	0.6686	0.67	0.7827	0.633	1.3585	0.667	1.417
"NM_024428"	"miR-101b"	800	"543-559"	"553-558"	"7mer-A1"	0	1	0	0	"549-558"	"548-548"	"543-545"	1.4555	0.851	1.5179	-16.8	1.048	-0.17	0.689	-2.112	0.8848	0.369	0.9517	0.357	0.8846	0.757	1.3047	0.198	0.6686	0.67	0.7827	0.633	1.3585	0.667	1.417
"NM_024428"	"miR-106a"	800	"625-650"	"645-650"	"6mer"	0	0	0	0	"645-650"	"0-0"	"625-638"	0.8336	0.851	0.8519	-14	0.9018	-1.765	1.0718	1.079	0.6206	0.428	1.1416	0.411	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.433	0.5859	0.533	0.9623
"NM_024428"	"miR-106a"	800	"589-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"0-0"	"589-595"	0.8336	0.851	0.8519	-17.1	1.1236	-2.106	1.2422	-1.642	0.9129	0.574	1.2773	0.609	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-106b"	800	"629-650"	"645-650"	"6mer"	0	0	0	0	"640-650"	"638-639"	"629-635"	0.8336	0.851	0.8519	-13	0.9018	-0.418	0.689	2.088	0.6206	0.404	1.1416	0.416	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.4	0.6371	0.533	0.9623
"NM_024428"	"miR-106b"	800	"588-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"603-604"	"588-595"	0.8336	0.851	0.8519	-13.6	0.9018	-2.099	1.2422	0.201000000000001	0.6206	0.56	1.2773	0.643	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-133a"	800	"611-637"	"632-637"	"offset-6mer"	0	0	0	0	"632-637"	"616-618"	"611-615"	0.5858	0.851	0.5654	-19.9	1.0788	-0.9	0.9231	4.694	0.6206	0.399	0.9517	0.607	1.3537	0.357	0.9832	0.283	0.8578	0.76	0.8545	0.5	0.7024	0.533	0.9623
"NM_024428"	"miR-133b"	800	"611-637"	"632-637"	"offset-6mer"	0	0	0	0	"632-637"	"616-618"	"611-615"	0.5858	0.851	0.5654	-19.9	1.0788	-0.9	0.9231	4.694	0.6206	0.399	0.9517	0.607	1.3537	0.357	0.9832	0.283	0.8578	0.76	0.8545	0.5	0.7024	0.533	0.9623
"NM_024428"	"miR-139-5p"	800	"527-561"	"554-560"	"8mer"	0	1	0	0	"554-560"	"550-552"	"527-549"	2.6747	0.851	2.7436	-24.8	0.9167	-0.378	0.689	-1.39	0.9129	0.391	0.9517	0.452	1.083	0.762	1.3047	0.255	0.8578	0.65	0.7827	0.6	0.99	0.633	1.2684
"NM_024428"	"miR-144"	800	"541-559"	"553-558"	"7mer-A1"	0	1	1	0	"553-558"	"550-550"	"541-545"	1.7549	1.1751	1.5179	-16.3	1.048	-3.957	1.3086	-1.612	0.9129	0.419	1.1416	0.356	0.8846	0.757	1.3047	0.198	0.6686	0.67	0.7827	0.667	1.5454	0.667	1.417
"NM_024428"	"miR-17"	800	"589-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"0-0"	"589-595"	0.8336	0.851	0.8519	-17.1	1.1236	-2.106	1.2422	-1.642	0.9129	0.574	1.2773	0.609	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-17"	800	"625-650"	"645-650"	"6mer"	0	0	0	0	"645-650"	"0-0"	"625-638"	0.8336	0.851	0.8519	-14	0.9018	-1.765	1.0718	1.079	0.6206	0.428	1.1416	0.411	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.433	0.5859	0.533	0.9623
"NM_024428"	"miR-199a-3p"	800	"540-558"	"552-557"	"6mer"	0	0	0	0	"552-557"	"551-551"	"540-548"	0.8336	0.851	0.8519	-21.2	1.0529	-0.152	0.689	-6.891	1.1901	0.426	1.1416	0.31	0.8969	0.773	1.3047	0.206	0.9784	0.67	0.7827	0.633	1.3585	0.667	1.417
"NM_024428"	"miR-199b"	800	"540-558"	"552-557"	"6mer"	0	0	0	0	"552-557"	"551-551"	"540-548"	0.8336	0.851	0.8519	-21.2	1.0529	-0.152	0.689	-6.891	1.1901	0.426	1.1416	0.31	0.8969	0.773	1.3047	0.206	0.9784	0.67	0.7827	0.633	1.3585	0.667	1.417
"NM_024428"	"miR-20a"	800	"625-650"	"645-650"	"6mer"	0	0	0	0	"645-650"	"0-0"	"625-638"	0.8336	0.851	0.8519	-13.9	0.9018	-1.765	1.0718	1.179	0.6206	0.428	1.1416	0.411	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.433	0.5859	0.533	0.9623
"NM_024428"	"miR-20a"	800	"589-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"0-0"	"589-595"	0.8336	0.851	0.8519	-15.4	1.1316	-2.1	1.2422	0.0579999999999998	0.6206	0.574	1.2773	0.609	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-20b"	800	"589-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"0-0"	"589-595"	0.8336	0.851	0.8519	-17.1	1.1236	-2.106	1.2422	-1.642	0.9129	0.574	1.2773	0.609	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-20b"	800	"625-650"	"645-650"	"6mer"	0	0	0	0	"645-650"	"640-641"	"625-635"	0.8336	0.851	0.8519	-14.1	0.9018	-1.765	1.0718	0.979	0.6206	0.428	1.1416	0.411	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.433	0.5859	0.533	0.9623
"NM_024428"	"miR-582-5p"	800	"774-779"	"774-779"	"6mer"	0	0	0	0	"774-779"	"0-0"	"0-0"	0.8336	0.851	0.8519	-10.8	0.9018	-0.589	0.9231	-6.166	1.1901	0.39	0.9517	0.675	1.452	0.796	1.3047	0.39	1.0219	0.96	1.2727	0.767	1.641	0.833	0.8377
"NM_024428"	"miR-93"	800	"588-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"0-0"	"588-596"	0.8336	0.851	0.8519	-17.6	1.1236	-3.296	1.1565	-3.799	1.0968	0.56	1.2773	0.643	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-93"	800	"625-650"	"645-650"	"6mer"	0	0	0	0	"640-650"	"637-639"	"625-634"	0.8336	0.851	0.8519	-21.6	1.0529	-2.133	1.2422	-6.521	1.1901	0.428	1.1416	0.411	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.433	0.5859	0.533	0.9623
