"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_017589"	"miR-23b"	1000	"727-757"	"750-755"	"offset-6mer"	0	0	1	0	"750-756"	"742-743"	"727-739"	1.0801	1.1939	0.9135	-22	0.8703	-1.348	1.0647	-3.045	1.0049	0.425	1.0534	0.406	1.0899	0.293	0.8213	0.361	1.0064	0.72	0.8331	0.64	1.618	0.333	0.4824
"NM_017589"	"miR-23b"	1000	"727-755"	"750-755"	"offset-6mer"	0	0	1	0	"750-755"	"742-743"	"727-739"	1.0801	1.1939	0.9135	-18.5	1.1591	-1.351	1.0647	0.236000000000001	0.7129	0.42	1.0534	0.406	1.0899	0.358	0.9543	0.361	1.0064	0.72	0.8331	0.64	1.618	0.333	0.4824
"NM_017589"	"miR-26a"	1000	"684-709"	"703-708"	"7mer-A1"	0	1	0	0	"703-708"	"696-696"	"684-695"	1.1236	0.8376	1.1665	-18.2	1.1591	-2.559	1.268	-9.085	1.3643	0.433	1.0534	0.439	1.0899	0.453	1.155	0.502	1.0455	0.68	0.7679	0.56	1.5183	0.567	1.5517
"NM_017589"	"miR-26b"	1000	"687-709"	"703-708"	"7mer-A1"	0	1	0	0	"703-708"	"700-701"	"687-699"	1.1236	0.8376	1.1665	-18.1	1.1591	-3.939	1.2747	-10.107	1.3689	0.435	1.0534	0.494	1.0967	0.453	1.155	0.502	1.0455	0.68	0.7679	0.56	1.5183	0.567	1.5517
"NM_017589"	"miR-340"	1000	"837-857"	"851-856"	"7mer-A1"	0	1	0	0	"850-856"	"0-0"	"837-846"	1.1236	0.8376	1.1665	-10.7	1.4244	-2.491	1.1553	-1.215	1.002	0.566	1.5726	0.363	0.9738	0.392	0.9543	0.716	1.4143	0.83	0.5582	0.52	1.1864	0.5	1.2001
"NM_017589"	"miR-361-5p"	1000	"315-332"	"327-332"	"offset-6mer"	0	0	1	0	"327-332"	"0-0"	"315-323"	1.0801	1.1939	0.9135	-17.1	1.3042	-0.066	0.684	-0.704000000000001	1.0246	0.219	0.6635	0.675	1.2364	0.283	0.8213	0.191	0.81	0.31	1.1525	0.64	1.618	0.433	0.7881
"NM_017589"	"miR-374a-3p"	1000	"239-247"	"242-247"	"7mer-A1"	0	1	0	0	"242-247"	"241-241"	"239-240"	1.1236	0.8376	1.1665	-10.8	1.4244	-3.599	1.2747	-10.058	1.3689	0.797	2.6138	0.473	1.0967	0.758	1.0297	0.73	1.4143	0.23	1.1453	0.68	1.696	0.667	1.4726
"NM_017589"	"miR-425"	1000	"641-662"	"655-661"	"7mer-m8"	0	0	0	0	"655-661"	"653-654"	"641-649"	1.1619	0.8376	1.2186	-22.5	0.8703	-0.429	0.684	-5.329	1.0339	0.38	0.9465	0.353	0.9738	0.435	1.1546	0.242	0.9327	0.64	0.7679	0.52	1.1864	0.633	1.5733
"NM_017589"	"miR-484"	1000	"546-597"	"592-597"	"offset-6mer"	0	0	0	0	"592-597"	"559-590"	"546-558"	0.8931	0.8376	0.9135	-20.4	1.0067	-2.085	1.1553	4.534	0.7129	0.408	1.0534	0.567	1.2303	0.346	0.8829	0.418	1.1993	0.54	0.9265	0.64	1.618	0.433	0.7881
"NM_017589"	"miR-615-3p"	1000	"779-800"	"795-800"	"offset-6mer"	0	0	0	0	"795-800"	"791-793"	"779-785"	0.8931	0.8376	0.9135	-24.7	0.769	-0.035	0.684	-1.588	1.002	0.374	0.9465	0.407	1.0899	0.284	0.8213	0.234	0.9327	0.77	0.8331	0.32	0.5418	0.5	1.2001
"NM_017589"	"miR-744"	1000	"712-744"	"738-743"	"7mer-A1"	0	1	1	0	"728-743"	"716-727"	"712-715"	1.3722	1.1939	1.1665	-26.3	0.553	-4.571	1.2954	-5.082	1.0339	0.338	0.8268	0.484	1.0967	0.543	1.1265	0.159	0.81	0.71	0.8331	0.72	1.5854	0.433	0.7881
"NM_017589"	"miR-93-3p"	1000	"647-675"	"670-675"	"offset-6mer"	0	0	0	0	"670-675"	"668-669"	"647-658"	0.8931	0.8376	0.9135	-18	1.1591	-2.144	1.1553	1.822	0.7129	0.391	0.9465	0.33	0.9586	0.595	1.3853	0.306	0.9204	0.64	0.7679	0.56	1.5183	0.667	1.4726
"NM_017589"	"miR-93"	1000	"594-621"	"616-621"	"offset-6mer"	0	0	0	0	"616-621"	"604-615"	"594-603"	0.8931	0.8376	0.9135	-19.2	1.0384	-0.646	0.9465	-1.452	1.002	0.377	0.9465	0.246	0.8671	0.339	0.8829	0.184	0.81	0.59	0.9265	0.64	1.618	0.533	1.4919
