"Transcript"	"miRNA"	"UTR_length"	"site_position"	"seed_position"	"Seed_kind"	"region12.17"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Gnucl"	"Gtotal"	"SiteAcc"	"UpsAcc"	"DwsAcc"	"SeedAcc"	"UpAU"	"site_conser"	"seed_conser"	"SiteBegin"	"line_prob"	"quad_prob"
"NM_001001182"	"miR-30e"	7980	"7298-7316"	"7309-7315"	"8mer"	0	0.851	2.7436	-19.1	-2.938	-10.018	0.491	0.435	0.474	0.387	0.8	0.99721052631579	1	0.469673405909798	0.824778357663033	0.865942798375273
"NM_001001182"	"miR-384-5p"	7980	"7292-7316"	"7309-7315"	"8mer"	0	0.851	2.7436	-18.6	-1.249	-5.841	0.503	0.374	0.474	0.387	0.8	0.99788	1	0.465007776049767	0.80971042615068	0.864571697334045
"NM_001001182"	"miR-543"	7980	"7229-7280"	"7273-7279"	"7mer-m8"	0	0.851	1.553	-13.6	-0.147	18.261	0.358	0.319	0.442	0.302	0.6	1	1	0.41601866251944	0.544783279651722	0.687979461711597
"NM_001001491"	"miR-124"	2082	"1342-1367"	"1361-1367"	"7mer-m8"	0	0.851	1.553	-23.8	-1.121	2.307	0.284	0.425	0.251	0.525	0.533	0.0157692307692308	0.056	0.432950191570881	0.417566422110056	0.338218804393581
"NM_001001806"	"miR-9"	3537	"1982-2007"	"2002-2007"	"offset-6mer"	0	0.851	0.5654	-17.6	-2.629	-3.747	0.341	0.274	0.487	0.507	0.567	0.429192307692308	0.08	0.149808638600328	0.291788333281559	0.411715454698983
"NM_001001932"	"let-7a"	7836	"6914-6944"	"6938-6944"	"7mer-m8"	1	1.1751	1.553	-21.9	-0.795	-8.125	0.47	0.551	0.463	0.258	0.533	0.883451612903226	1	0.72178636089318	0.752300734938132	0.804197522014388
"NM_001001932"	"let-7b"	7836	"6913-6944"	"6938-6944"	"7mer-m8"	0	0.851	1.553	-21.4	-0.244	-6.162	0.462	0.587	0.463	0.258	0.533	0.8653125	1	0.721484610742305	0.729051704598744	0.768972764553007
"NM_001001932"	"let-7c"	7836	"6901-6944"	"6938-6944"	"7mer-m8"	1	1.1751	1.553	-21.7	-3.119	-4.523	0.486	0.528	0.463	0.258	0.6	0.805363636363636	1	0.717863608931804	0.761114532146521	0.807909506528153
"NM_001001932"	"let-7d"	7836	"6931-6945"	"6938-6944"	"7mer-m8"	0	0.851	1.553	-20.8	-0.158	-6.89	0.267	0.585	0.458	0.258	0.667	1	1	0.726916113458057	0.701473775978331	0.656531757687698
"NM_001001932"	"let-7e"	7836	"6914-6944"	"6938-6944"	"7mer-m8"	1	1.1751	1.553	-20.5	-0.791	-6.725	0.47	0.551	0.463	0.258	0.533	0.883451612903226	1	0.72178636089318	0.75106473649829	0.795844180805014
"NM_001001932"	"let-7f"	7836	"6914-6944"	"6938-6944"	"7mer-m8"	1	1.1751	1.553	-22.8	-0.795	-9.025	0.47	0.551	0.463	0.258	0.533	0.883451612903226	1	0.72178636089318	0.753085722948957	0.809380023661635
"NM_001001932"	"let-7g"	7836	"6914-6944"	"6938-6944"	"7mer-m8"	1	1.1751	1.553	-23.6	-4.784	-9.825	0.47	0.551	0.463	0.258	0.533	0.883451612903226	1	0.72178636089318	0.764909513621021	0.798703664724718
"NM_001001932"	"let-7i"	7836	"6910-6944"	"6938-6944"	"7mer-m8"	1	1.1751	1.553	-23.7	-5.096	-5.329	0.445	0.64	0.463	0.258	0.6	0.810571428571429	1	0.72057936028968	0.769313106922621	0.79331507972577
"NM_001001932"	"miR-196a"	7836	"6918-6943"	"6937-6943"	"7mer-m8"	1	1.1751	1.553	-19.5	-4.238	-5.795	0.505	0.491	0.472	0.256	0.567	0.958423076923077	1	0.722993361496681	0.762783937546343	0.794373852947828
"NM_001001932"	"miR-196b"	7836	"6918-6943"	"6937-6943"	"7mer-m8"	1	1.1751	1.553	-17.4	-4.238	-3.695	0.505	0.491	0.472	0.256	0.567	0.958423076923077	1	0.722993361496681	0.760996695581385	0.781632659442875
"NM_001001932"	"miR-202-3p"	7836	"6904-6945"	"6939-6944"	"6mer"	0	0.851	0.8519	-17.3	-3.081	0.486000000000001	0.455	0.559	0.458	0.294	0.6	0.796095238095238	1	0.71876885938443	0.654361524280473	0.638496374727235
"NM_001001932"	"miR-98"	7836	"6906-6944"	"6938-6944"	"7mer-m8"	0	0.851	1.553	-20.4	-1.623	-2.323	0.454	0.585	0.463	0.258	0.6	0.780461538461538	1	0.71937235968618	0.734350295198863	0.763506596229832
"NM_001003908"	"miR-130a"	6178	"5505-5525"	"5519-5525"	"7mer-m8"	0	0.851	1.553	-18	-0.477	-5.798	0.327	0.672	0.557	0.266	0.733	1	1	0.289334741288279	0.658206231092291	0.587110359329252
"NM_001003908"	"miR-130b"	6178	"5505-5525"	"5519-5525"	"7mer-m8"	0	0.851	1.553	-18	-0.477	-5.798	0.327	0.672	0.557	0.266	0.733	1	1	0.289334741288279	0.658206231092291	0.587110359329252
"NM_001003908"	"miR-19a"	6178	"5503-5524"	"5518-5524"	"7mer-m8"	0	0.851	1.553	-18.4	-1.411	-6.628	0.343	0.661	0.568	0.249	0.7	1	1	0.287222808870116	0.662488730359093	0.593883694927454
"NM_001003908"	"miR-19b"	6178	"5503-5524"	"5518-5524"	"7mer-m8"	0	0.851	1.553	-17.7	-1.411	-5.928	0.343	0.661	0.568	0.249	0.7	1	1	0.287222808870116	0.661755714377232	0.599455954476154
"NM_001003908"	"miR-301a"	6178	"5503-5525"	"5519-5525"	"7mer-m8"	0	0.851	1.553	-19.8	-0.477	-8.035	0.369	0.661	0.557	0.266	0.7	1	1	0.287222808870116	0.664760917178914	0.59224350085936
"NM_001003908"	"miR-301b"	6178	"5503-5525"	"5519-5525"	"7mer-m8"	0	0.851	1.553	-22.1	-0.477	-10.335	0.369	0.661	0.557	0.266	0.7	1	1	0.287222808870116	0.66715497853733	0.5755926259599
"NM_001003908"	"miR-30a"	6178	"5519-5537"	"5532-5537"	"offset-6mer"	0	0.851	0.5654	-12.5	-3.796	-3.343	0.413	0.497	0.752	0.536	0.7	1	1	0.304118268215417	0.576026444623248	0.511841812266123
"NM_001003908"	"miR-30b"	6178	"5521-5537"	"5532-5537"	"offset-6mer"	1	1.1751	0.5654	-14.9	-3.914	-3.053	0.433	0.445	0.752	0.536	0.7	1	1	0.30623020063358	0.595413754800532	0.617195191008695
"NM_001003908"	"miR-30c"	6178	"5514-5537"	"5532-5537"	"offset-6mer"	1	1.1751	0.5654	-14.7	-4.219	0.717000000000001	0.413	0.493	0.752	0.536	0.667	1	1	0.298838437170011	0.580272005903975	0.600050294905035
"NM_001003908"	"miR-30d"	6178	"5519-5537"	"5532-5537"	"offset-6mer"	0	0.851	0.5654	-14.9	-3.796	-5.743	0.413	0.497	0.752	0.536	0.7	1	1	0.304118268215417	0.578767207380822	0.510994501327561
"NM_001003908"	"miR-30e"	6178	"5519-5537"	"5532-5537"	"offset-6mer"	0	0.851	0.5654	-13.2	-3.796	-4.043	0.413	0.497	0.752	0.536	0.7	1	1	0.304118268215417	0.576826338207369	0.511635079518456
"NM_001003908"	"miR-350"	6178	"5478-5509"	"5503-5508"	"7mer-A1"	0	0.851	1.5179	-12.7	-0.895	-3.017	0.565	0.648	0.293	0.429	0.567	0.9620625	1	0.260823653643083	0.637839090500874	0.723922311866861
"NM_001003908"	"miR-384-5p"	6178	"5519-5537"	"5532-5537"	"offset-6mer"	0	0.851	0.5654	-15.2	-3.591	-6.043	0.413	0.497	0.752	0.536	0.7	1	1	0.304118268215417	0.578346627130816	0.51054179964704
"NM_001003908"	"miR-721"	6178	"5513-5525"	"5519-5525"	"7mer-m8"	0	0.851	1.553	-17.9	-0.477	-4.061	0.316	0.524	0.557	0.266	0.7	1	1	0.297782470960929	0.629425458702697	0.593416574752407
"NM_001003909"	"miR-124"	6429	"4699-4718"	"4712-4718"	"7mer-m8"	0	0.851	1.553	-22.4	-1.313	-15.991	0.566	0.582	0.409	0.446	0.7	1	1	0.372961217832548	0.711760107880177	0.743084203211807
"NM_001003909"	"miR-124"	6429	"4828-4841"	"4836-4841"	"6mer"	0	0.851	0.8519	-18.7	-0.074	-4.878	0.42	0.437	0.244	0.449	0.533	0.998785714285714	0.997166666666667	0.41971728887278	0.501456472638896	0.519947000259447
"NM_001003913"	"miR-106a"	2822	"2723-2744"	"2739-2744"	"7mer-A1"	0	0.851	1.5179	-17.2	-2.745	-5.535	0.47	0.455	0.299	0.538	0.6	0.94559090909091	0.9995	0.0388349514563107	0.546643965312358	0.638315138532116
"NM_001003913"	"miR-106b"	2822	"2723-2745"	"2739-2744"	"7mer-A1"	0	0.851	1.5179	-18.4	-3.124	-6.583	0.482	0.455	0.256	0.538	0.6	0.94795652173913	0.9995	0.0388349514563107	0.54445265841475	0.62166384491172
"NM_001003913"	"miR-17"	2822	"2723-2744"	"2739-2744"	"7mer-A1"	0	0.851	1.5179	-17.7	-2.53	-6.035	0.47	0.455	0.299	0.538	0.6	0.94559090909091	0.9995	0.0388349514563107	0.546409480346167	0.631049564621184
"NM_001003913"	"miR-20a"	2822	"2723-2745"	"2739-2744"	"7mer-A1"	0	0.851	1.5179	-18.5	-2.912	-6.683	0.482	0.455	0.256	0.538	0.6	0.94795652173913	0.9995	0.0388349514563107	0.54376498162684	0.620336355502607
"NM_001003913"	"miR-20b"	2822	"2723-2744"	"2739-2744"	"7mer-A1"	0	0.851	1.5179	-16.5	-2.53	-4.835	0.47	0.455	0.299	0.538	0.6	0.94559090909091	0.9995	0.0388349514563107	0.545017230951168	0.64843082360422
"NM_001003913"	"miR-93"	2822	"2723-2744"	"2739-2744"	"7mer-A1"	0	0.851	1.5179	-17.6	-2.53	-5.935	0.47	0.455	0.299	0.538	0.6	0.94559090909091	0.9995	0.0388349514563107	0.546293488285771	0.632516170213378
"NM_001003934"	"miR-103"	5030	"4785-4811"	"4805-4810"	"6mer"	0	0.851	0.8519	-22.8	-5.001	-10.049	0.516	0.311	0.421	0.532	0.4	0.360962962962963	0.949833333333333	0.872991187143598	0.67461956337157	0.757783045889498
"NM_001003934"	"miR-124"	5030	"3557-3584"	"3578-3583"	"7mer-A1"	0	0.851	1.5179	-19.8	-0.018	28.236	0.065	0.437	0.956	0.201	0.567	0.260107142857143	0.892333333333333	0.236391912908243	0.499865985331752	0.656451024090425
"NM_001003934"	"miR-15a"	5030	"4783-4812"	"4805-4811"	"7mer-m8"	0	0.851	1.553	-21.9	-3.661	-7.205	0.48	0.316	0.446	0.522	0.4	0.405233333333333	0.957	0.871954380508035	0.73597952625488	0.803474910161572
"NM_001003934"	"miR-15a"	5030	"4180-4197"	"4192-4197"	"6mer"	0	0.851	0.8519	-19.7	-0.032	6.346	0.275	0.489	0.387	0.008	0.533	0.00827777777777778	0.0176666666666667	0.559357179885951	0.382850145165309	0.456695874787073
"NM_001003934"	"miR-15b"	5030	"4787-4812"	"4805-4811"	"7mer-m8"	0	0.851	1.553	-20.5	-2.774	-8.513	0.522	0.297	0.446	0.522	0.4	0.410884615384615	0.957	0.87402799377916	0.745143432895381	0.817187614426898
"NM_001003934"	"miR-15b"	5030	"4177-4197"	"4192-4197"	"6mer"	0	0.851	0.8519	-18.1	-0.008	8.226	0.353	0.434	0.387	0.008	0.467	0.0090952380952381	0.0176666666666667	0.557801969932608	0.382205227633316	0.413655472244414
"NM_001003934"	"miR-16"	5030	"4778-4812"	"4805-4811"	"7mer-m8"	0	0.851	1.553	-22.2	-3.538	-3.555	0.459	0.268	0.446	0.522	0.467	0.479142857142857	0.957	0.869362363919129	0.720788185205773	0.80426791266851
"NM_001003934"	"miR-16"	5030	"4180-4197"	"4192-4197"	"6mer"	0	0.851	0.8519	-17.4	-0.008	8.646	0.275	0.489	0.387	0.008	0.533	0.00827777777777778	0.0176666666666667	0.559357179885951	0.380222597058783	0.475599762594681
"NM_001003934"	"miR-1906"	5030	"4777-4813"	"4807-4813"	"7mer-m8"	0	0.851	1.553	-30	-2.903	-10.974	0.446	0.252	0.459	0.406	0.467	0.506243243243243	0.996142857142857	0.868843960601348	0.728479005045377	0.880926914686407
"NM_001003934"	"miR-1906"	5030	"4777-4810"	"4805-4810"	"6mer"	0	0.851	0.8519	-28.9	-3.063	-13.437	0.467	0.252	0.417	0.532	0.467	0.462676470588235	0.949833333333333	0.868843960601348	0.650775820135747	0.851154951986076
"NM_001003934"	"miR-1907"	5030	"4170-4198"	"4192-4197"	"6mer"	0	0.851	0.8519	-24.3	-0.91	3.202	0.376	0.405	0.352	0.008	0.367	0.00996551724137931	0.0176666666666667	0.554173146708139	0.369899832128131	0.331255109915403
"NM_001003934"	"miR-195"	5030	"4791-4812"	"4805-4811"	"7mer-m8"	0	0.851	1.553	-21.1	-3.364	-10.783	0.524	0.314	0.446	0.522	0.467	0.485318181818182	0.957	0.876101607050285	0.758343276850712	0.81084540534057
"NM_001003934"	"miR-195"	5030	"4192-4197"	"4192-4197"	"6mer"	0	0.851	0.8519	-15.3	-0.008	2.927	0.008	0.447	0.387	0.008	0.533	0.0176666666666667	0.0176666666666667	0.565578019699326	0.333462748232334	0.606948935901297
"NM_001003934"	"miR-21"	5030	"3564-3593"	"3588-3593"	"offset-6mer"	1	1.1751	0.5654	-13.5	-5.869	19.034	0.351	0.204	0.502	0.954	0.5	0.387366666666667	0.709833333333333	0.240020736132711	0.369611464542844	0.538993119916096
"NM_001003934"	"miR-28"	5030	"3599-3612"	"3607-3612"	"6mer"	0	0.851	0.8519	-16.3	-0.016	1.602	0.225	0.758	0.571	0.113	0.5	0.00571428571428571	0.0116666666666667	0.258164852255054	0.379596699375592	0.585468727288371
"NM_001003934"	"miR-322"	5030	"4781-4812"	"4805-4811"	"7mer-m8"	0	0.851	1.553	-22.2	-3.526	-9.073	0.482	0.297	0.446	0.522	0.433	0.43375	0.957	0.870917573872473	0.740509927188339	0.809121494288547
"NM_001003934"	"miR-322"	5030	"4181-4197"	"4192-4197"	"6mer"	1	1.1751	0.8519	-24.4	-0.332	2.942	0.282	0.482	0.387	0.008	0.533	0.00794117647058823	0.0176666666666667	0.559875583203733	0.411845989888613	0.387406730311108
"NM_001003934"	"miR-497"	5030	"4778-4812"	"4805-4811"	"7mer-m8"	1	1.1751	1.553	-26.9	-4.034	-8.255	0.459	0.268	0.446	0.522	0.467	0.479142857142857	0.957	0.869362363919129	0.747435926170787	0.85641513794316
"NM_001003934"	"miR-497"	5030	"4180-4197"	"4192-4197"	"6mer"	0	0.851	0.8519	-19.4	-0.032	6.646	0.275	0.489	0.387	0.008	0.533	0.00827777777777778	0.0176666666666667	0.559357179885951	0.382518317617250	0.459244560682135
"NM_001003934"	"miR-590-5p"	5030	"3577-3593"	"3588-3593"	"offset-6mer"	0	0.851	0.5654	-16.6	-5.869	-6.325	0.616	0.003	0.502	0.954	0.4	0.62135294117647	0.709833333333333	0.246759979263867	0.429052396474884	0.660745483750992
"NM_001003934"	"miR-708"	5030	"3593-3612"	"3607-3612"	"6mer"	0	0.851	0.8519	-23.2	-6.923	-4.648	0.438	0.478	0.571	0.113	0.467	0.2075	0.0116666666666667	0.255054432348367	0.410252214387625	0.440907598680655
"NM_001003934"	"miR-761"	5030	"4785-4813"	"4807-4812"	"6mer"	1	1.1751	0.8519	-22.8	-2.778	-7.041	0.485	0.311	0.459	0.457	0.4	0.405034482758621	0.9955	0.872991187143598	0.687205933995301	0.81344067327314
"NM_001004164"	"let-7g"	5204	"3727-3745"	"3738-3744"	"8mer"	0	0.851	2.7436	-18.7	-3.402	-7.246	0.454	0.343	0.393	0.372	0.567	0.90678947368421	0.997714285714286	0.00805910006715917	0.690868241896232	0.85818308036431
"NM_001004164"	"let-7i"	5204	"3724-3745"	"3738-3744"	"8mer"	0	0.851	2.7436	-19.1	-3.402	-7.597	0.484	0.265	0.393	0.372	0.533	0.908954545454545	0.997714285714286	0.00604432505036938	0.683607905986217	0.868160858884733
"NM_001004164"	"miR-103"	5204	"4402-4427"	"4421-4426"	"6mer"	0	0.851	0.8519	-28.2	-0.008	3.584	0.287	0.25	0.56	0.198	0.367	0.946653846153846	0.8875	0.461383478844862	0.424767438942869	0.534185408004451
"NM_001004164"	"miR-107"	5204	"4398-4427"	"4421-4426"	"6mer"	0	0.851	0.8519	-29	-0.008	8.212	0.256	0.305	0.56	0.198	0.4	0.948	0.8875	0.458697112155809	0.412653908313602	0.525419486643064
"NM_001004164"	"miR-15a"	5204	"4396-4427"	"4421-4427"	"7mer-m8"	0	0.851	1.553	-22.1	-0.037	17.374	0.27	0.271	0.56	0.17	0.467	0.91421875	0.838571428571429	0.457353928811283	0.490508342302738	0.634946978998568
"NM_001004164"	"miR-15b"	5204	"4407-4427"	"4421-4427"	"7mer-m8"	0	0.851	1.553	-21.5	0	8.146	0.304	0.269	0.56	0.17	0.367	0.933952380952381	0.838571428571429	0.464741437206179	0.515101693128703	0.630470585370043
"NM_001004164"	"miR-16"	5204	"4403-4427"	"4421-4427"	"7mer-m8"	0	0.851	1.553	-26.7	-0.026	2.509	0.297	0.245	0.56	0.17	0.367	0.94452	0.838571428571429	0.462055070517126	0.516338941392715	0.616397795147974
"NM_001004164"	"miR-1906"	5204	"4402-4426"	"4421-4426"	"6mer"	0	0.851	0.8519	-25.3	0	5.017	0.298	0.25	0.553	0.198	0.367	0.96272	0.8875	0.461383478844862	0.426696335655810	0.532471770243165
"NM_001004164"	"miR-1907"	5204	"4388-4428"	"4421-4427"	"7mer-m8"	0	0.851	1.553	-25.4	-0.005	16.147	0.287	0.332	0.56	0.17	0.433	0.722390243902439	0.838571428571429	0.451981195433177	0.504222881392695	0.628255317764764
"NM_001004164"	"miR-195"	5204	"4403-4427"	"4421-4427"	"7mer-m8"	0	0.851	1.553	-24.7	-0.026	4.509	0.297	0.245	0.56	0.17	0.367	0.94452	0.838571428571429	0.462055070517126	0.514001172439309	0.620766465701514
"NM_001004164"	"miR-196a"	5204	"3720-3743"	"3738-3743"	"6mer"	0	0.851	0.8519	-16.6	-0.675	-6.654	0.454	0.212	0.472	0.316	0.5	0.915125	0.997666666666667	0.00335795836131632	0.431281086655512	0.501320364954595
"NM_001004164"	"miR-202-3p"	5204	"3720-3744"	"3739-3744"	"7mer-A1"	0	0.851	1.5179	-20.9	-0.678	-11.129	0.464	0.212	0.431	0.415	0.5	0.91844	0.999666666666667	0.00335795836131632	0.517271489924963	0.624668306665931
"NM_001004164"	"miR-27a"	5204	"3742-3756"	"3750-3755"	"7mer-A1"	0	0.851	1.5179	-17.1	-0.404	-9.81	0.475	0.394	0.523	0.34	0.633	0.7018	0.550166666666667	0.0181329751511081	0.520721819474871	0.649023622681187
"NM_001004164"	"miR-322"	5204	"4410-4427"	"4421-4427"	"7mer-m8"	0	0.851	1.553	-20.2	-0.005	5.51	0.351	0.271	0.56	0.17	0.367	0.923388888888889	0.838571428571429	0.466756212222968	0.5393910614459	0.64357917097166
"NM_001004164"	"miR-497"	5204	"4395-4427"	"4421-4427"	"7mer-m8"	0	0.851	1.553	-26.1	-0.037	14.683	0.264	0.311	0.56	0.17	0.433	0.886939393939394	0.838571428571429	0.456682337139019	0.491225844394035	0.622229607389279
"NM_001004164"	"miR-673-5p"	5204	"3721-3755"	"3750-3755"	"7mer-A1"	0	0.851	1.5179	-17.7	-0.49	-3.221	0.438	0.234	0.531	0.34	0.533	0.826542857142857	0.550166666666667	0.00402955003357958	0.444062233858378	0.59945988350855
"NM_001004164"	"miR-98"	5204	"3724-3745"	"3738-3744"	"8mer"	0	0.851	2.7436	-18.3	-3.402	-6.797	0.484	0.265	0.393	0.372	0.533	0.908954545454545	0.997714285714286	0.00604432505036938	0.682797697760238	0.876162434453084
"NM_001004761"	"miR-34a"	7143	"4717-4734"	"4729-4734"	"offset-6mer"	0	0.851	0.5654	-20.9	-4.545	-5.014	0.417	0.544	0.555	0.296	0.633	1	1	0.149070501578394	0.497160640986414	0.359712628532845
"NM_001004761"	"miR-34a"	7143	"4717-4736"	"4729-4734"	"offset-6mer"	0	0.851	0.5654	-24.8	-4.551	-7.303	0.4	0.544	0.528	0.296	0.633	1	1	0.149070501578394	0.487548950744473	0.308450468053293
"NM_001004761"	"miR-34b-5p"	7143	"4722-4735"	"4729-4734"	"offset-6mer"	0	0.851	0.5654	-19.9	-1.367	-2.756	0.26	0.655	0.548	0.296	0.633	1	1	0.150824272185198	0.454219131976140	0.272240309873145
"NM_001004761"	"miR-34c"	7143	"4722-4735"	"4729-4734"	"offset-6mer"	0	0.851	0.5654	-19.2	-1.376	-2.056	0.26	0.655	0.548	0.296	0.633	1	1	0.150824272185198	0.453441612406952	0.279376568846919
"NM_001004761"	"miR-449a"	7143	"4710-4734"	"4729-4734"	"offset-6mer"	1	1.1751	0.5654	-18.9	-3.692	-2.365	0.476	0.515	0.555	0.296	0.6	0.99776	1	0.146615222728867	0.521988542059132	0.498989786492468
"NM_001004761"	"miR-449a"	7143	"4710-4736"	"4729-4734"	"offset-6mer"	1	1.1751	0.5654	-22.8	-3.443	-4.654	0.459	0.515	0.528	0.296	0.6	0.997925925925926	1	0.146615222728867	0.511404957904272	0.431768033938421
"NM_001004761"	"miR-449b"	7143	"4720-4735"	"4729-4734"	"offset-6mer"	0	0.851	0.5654	-22.7	-1.178	-5.75	0.322	0.636	0.548	0.296	0.667	1	1	0.150122763942476	0.475466752136536	0.28707324301172
"NM_001004761"	"miR-449c"	7143	"4720-4735"	"4729-4734"	"offset-6mer"	0	0.851	0.5654	-23.8	-1.393	-6.85	0.322	0.636	0.548	0.296	0.667	1	1	0.150122763942476	0.47756991090638	0.276901428177287
"NM_001004761"	"miR-761"	7143	"4906-4933"	"4928-4933"	"offset-6mer"	0	0.851	0.5654	-19.2	-0.262	-4.797	0.543	0.394	0.167	0.224	0.633	0.998785714285714	1	0.215363030515609	0.445024790889782	0.471950800674993
"NM_001004761"	"miR-9"	7143	"4890-4925"	"4920-4925"	"offset-6mer"	1	1.1751	0.5654	-17.3	-3.406	-8.72	0.553	0.361	0.234	0.809	0.733	0.998916666666667	0.995166666666667	0.209750964573834	0.511843321704673	0.600981662407671
"NM_001005341"	"miR-19a"	4902	"3807-3831"	"3825-3830"	"offset-6mer"	1	1.1751	0.5654	-20.8	-1.574	-8.668	0.386	0.479	0.583	0.391	0.733	0.02632	0.00133333333333333	0.73766171538093	0.545579177393798	0.627935671530844
