 The calculation of partition function U (Ding and Lawrence 2003) and structure
 sampling currently do not consider 1) single base stacking/dangling energies
 (both 5' and 3') for exterior loop, and 2) 5' single base stacking energies for
 multi-branched loops. These omitted energies are included in energy
 recalculation to get the final energy of the structure for a complete adaptation
 of the 1999 Turner energies.
 Column 1: structure ID
 Column 2: initial energy of the structure
 Column 3: final energy - initial energy (see file fe.out for final energy)
 ---------------------------------------------------------------------------------
 Ensemble free energy: 	-RT ln(U)= -28.297589225636652 kcal/mol
  91     -26.10      -2.10
  92     -25.00      -1.70
  93     -22.20      -1.70
  94     -25.60      -2.20
  95     -26.20      -1.70
  96     -19.50      -1.70
  97     -26.10      -2.10
  98     -24.30      -1.90
  99     -23.80      -1.90
 100     -25.50      -1.70
 101     -25.50      -1.70
 102     -26.70      -2.20
 103     -26.70      -2.20
 104     -25.30      -1.90
 105     -26.20      -2.30
 106     -24.20      -1.70
 107     -20.60      -1.70
 108     -24.40      -1.70
 109     -26.30      -2.10
 110     -24.80      -1.70
 111     -23.80      -1.70
 112     -25.40      -1.90
 113     -24.60      -2.20
 114     -23.70      -2.00
 115     -26.50      -2.20
 116     -26.00      -2.30
 117     -22.30      -2.10
 118     -23.30      -1.70
 119     -26.50      -2.20
 120     -26.00      -2.30
 121     -25.00      -1.70
 122     -26.50      -2.20
 123     -26.50      -2.20
 124     -25.20      -1.70
 125     -24.20      -1.70
 126     -24.00      -1.90
 127     -22.30      -1.70
 128     -21.10      -1.90
 129     -23.90      -1.70
 130     -26.20      -1.70
 131     -26.70      -2.20
 132     -22.30      -1.90
 133     -22.20      -2.10
 134     -24.30      -2.40
 135     -23.50      -1.70
 136     -24.40      -2.10
 137     -24.30      -1.90
 138     -26.10      -2.10
 139     -17.60      -1.70
 140     -23.90      -1.70
 141     -19.70      -1.90
 142     -24.60      -1.90
 143     -24.90      -2.30
 144     -24.40      -1.70
 145     -23.90      -1.70
 146     -23.90      -1.70
 147     -25.80      -1.90
 148     -26.70      -2.20
 149     -26.50      -2.20
 150     -24.00      -1.70
 151     -25.40      -1.90
 152     -22.60      -1.70
 153     -26.20      -1.70
 154     -21.00      -1.70
 155     -22.30      -1.70
 156     -26.70      -2.20
 157     -25.30      -1.90
 158     -26.70      -2.20
 159     -19.20      -1.90
 160     -26.50      -2.20
 161     -24.90      -1.70
 162     -21.80      -2.20
 163     -24.00      -2.30
 164     -24.10      -1.70
 165     -26.70      -2.20
 166     -26.00      -1.70
 167     -26.50      -2.20
 168     -24.90      -2.30
 169     -26.50      -2.20
 170     -26.30      -2.10
 171     -25.30      -1.90
 172     -26.10      -2.10
 173     -25.20      -1.90
 174     -25.50      -1.70
 175     -24.50      -1.70
 176     -26.00      -1.70
 177     -25.30      -1.90
 178     -26.70      -2.20
 179     -26.50      -2.20
 180     -25.30      -1.90
 181     -26.30      -2.10
 182     -25.70      -2.20
 183     -24.00      -1.70
 184     -25.40      -1.70
 185     -25.00      -1.70
 186     -26.00      -1.70
 187     -24.90      -2.30
 188     -23.70      -1.70
 189     -24.60      -1.70
 190     -25.20      -1.70
 191     -26.20      -1.70
 192     -22.90      -1.70
 193     -22.30      -2.30
 194     -13.60      -1.70
 195     -25.10      -1.70
 196     -25.70      -2.20
 197     -26.20      -1.70
 198     -25.10      -1.70
 199     -25.10      -2.30
 200     -24.40      -2.10
 201     -23.70      -2.00
 202     -23.60      -2.00
 203     -25.10      -1.70
 204     -25.60      -1.70
 205     -25.40      -1.90
 206     -25.10      -2.30
 207     -26.70      -2.20
 208     -25.10      -1.70
 209     -22.00      -1.70
 210     -19.50      -2.20
 211     -19.30      -2.10
 212     -24.30      -2.30
 213     -26.30      -2.10
 214     -26.50      -2.20
 215     -21.70      -1.70
 216     -25.60      -2.20
 217     -20.90      -1.70
 218     -20.20      -1.90
 219     -26.70      -2.20
 220     -26.50      -2.20
 221     -19.10      -1.70
 222     -24.90      -1.70
 223     -24.80      -1.90
 224     -24.50      -1.90
 225     -22.60      -1.90
 226     -24.50      -1.90
 227     -26.50      -2.20
 228     -26.20      -2.30
 229     -23.70      -1.70
 230     -25.20      -2.10
 231     -23.30      -1.70
 232     -24.60      -2.20
 233     -26.20      -2.30
 234     -25.20      -1.90
 235     -26.00      -1.70
 236     -25.50      -2.20
 237     -23.50      -1.70
 238     -26.00      -2.30
 239     -26.00      -2.30
 240     -24.90      -2.30
 241     -25.60      -2.30
 242     -23.50      -2.10
 243     -25.40      -1.70
 244     -24.80      -1.90
 245     -24.40      -1.70
 246     -25.50      -1.70
 247     -25.30      -1.90
 248     -26.20      -2.30
 249     -24.70      -1.90
 250     -25.40      -1.90
 251     -26.30      -2.10
 252     -25.10      -2.30
 253     -24.20      -1.90
 254     -22.00      -2.30
 255     -20.80      -1.70
 256     -26.50      -2.20
 257     -22.50      -1.70
 258     -26.10      -2.10
 259     -25.10      -1.70
 260     -24.90      -1.70
 261     -25.60      -1.90
 262     -23.30      -2.40
 263     -24.70      -1.90
 264     -23.70      -1.70
 265     -24.60      -1.70
 266     -22.70      -2.30
 267     -25.50      -1.70
 268     -20.40      -2.10
 269     -21.50      -2.20
 270     -22.00      -1.70
 271     -22.40      -3.80
 272     -18.90      -1.00
 273     -20.20      -2.20
 274     -25.70      -2.20
 275     -22.30      -1.70
 276     -26.70      -2.20
 277     -23.50      -1.70
 278     -25.40      -2.30
 279     -25.10      -2.30
 280     -25.60      -1.90
 281     -26.20      -2.30
 282     -24.10      -1.70
 283     -23.80      -2.30
 284     -22.90      -1.70
 285     -26.70      -2.20
 286     -23.70      -1.70
 287     -26.00      -1.70
 288     -26.20      -1.70
 289     -23.50      -2.20
 290     -25.00      -1.70
 291     -26.50      -2.20
 292     -24.90      -2.30
 293     -24.30      -2.30
 294     -24.80      -1.90
 295     -22.70      -2.30
 296     -26.50      -2.20
 297     -22.30      -2.20
 298     -24.60      -1.70
 299     -26.50      -2.20
 300     -22.40      -1.70
 301     -25.10      -1.70
 302     -26.00      -1.70
 303     -23.80      -1.70
 304     -25.00      -1.70
 305     -26.70      -2.20
 306     -25.60      -1.90
 307     -25.40      -2.30
 308     -23.10      -1.70
 309     -26.00      -2.30
 310     -26.20      -1.70
 311     -26.30      -2.10
 312     -26.50      -2.20
 313     -26.70      -2.20
 314     -25.80      -1.90
 315     -24.20      -1.70
 316     -25.70      -2.20
 317     -26.70      -2.20
 318     -22.00      -1.00
 319     -21.10      -2.10
 320     -25.40      -1.70
 321     -22.70      -1.70
 322     -26.20      -1.70
 323     -26.00      -2.30
 324     -26.70      -2.20
 325     -22.80      -1.70
 326     -22.80      -2.10
 327     -25.50      -1.70
 328     -22.00      -1.70
 329     -26.30      -2.10
 330     -23.90      -1.70
 331     -26.10      -2.10
 332     -25.50      -1.70
 333     -23.10      -1.70
 334     -22.00      -2.20
 335     -26.70      -2.20
 336     -21.80      -1.70
 337     -24.80      -1.70
 338     -21.90      -2.20
 339     -26.00      -1.70
 340     -26.50      -2.20
 341     -24.10      -1.70
 342     -25.40      -1.70
 343     -21.60      -0.30
 344     -23.90      -2.10
 345     -22.60      -2.40
 346     -20.90      -2.00
 347     -26.70      -2.20
 348     -26.30      -2.10
 349     -24.00      -2.20
 350     -25.00      -1.70
 351     -26.00      -2.30
 352     -21.00      -1.70
 353     -26.70      -2.20
 354     -26.70      -2.20
 355     -22.50      -2.00
 356     -26.20      -2.30
 357     -26.50      -2.20
 358     -26.70      -2.20
 359     -24.30      -2.30
 360     -22.50      -1.90
 361     -22.50      -1.90
 362     -22.40      -1.70
 363     -25.60      -1.90
 364     -25.20      -2.10
 365     -26.70      -2.20
 366     -25.50      -2.20
 367     -24.50      -1.70
 368     -26.00      -2.30
 369     -25.60      -2.30
 370     -22.90      -1.70
 371     -25.00      -1.70
 372     -24.40      -2.10
 373     -22.50      -1.70
 374     -23.70      -1.00
 375     -25.70      -2.20
 376     -22.00      -2.00
 377     -24.80      -2.10
 378     -24.80      -1.70
 379     -26.70      -2.20
 380     -26.10      -2.10
 381     -24.10      -1.70
 382     -24.50      -1.70
 383     -25.10      -1.70
 384     -24.30      -2.30
 385     -24.10      -1.90
 386     -25.50      -2.20
 387     -24.80      -1.70
 388     -20.50      -1.70
 389     -26.10      -2.10
 390     -26.50      -2.20
 391     -26.70      -2.20
 392     -25.80      -1.90
 393     -25.20      -1.90
 394     -22.00      -1.70
 395     -25.20      -1.90
 396     -25.60      -1.70
 397     -18.20      -2.30
 398     -24.80      -2.10
 399     -24.20      -1.10
 400     -24.50      -2.40
 401     -25.60      -2.30
 402     -24.50      -1.70
 403     -26.20      -2.30
 404     -25.10      -2.30
 405     -25.70      -2.20
 406     -25.60      -1.90
 407     -22.40      -1.90
 408     -24.60      -2.20
 409     -26.50      -2.20
 410     -21.90      -2.10
 411     -23.40      -1.70
 412     -26.20      -2.30
 413     -23.70      -1.70
 414     -26.20      -1.70
 415     -25.60      -1.70
 416     -22.00      -2.50
 417     -26.30      -2.10
 418     -25.10      -1.70
 419     -26.70      -2.20
 420     -25.00      -1.70
 421     -23.00      -2.10
 422     -25.10      -1.70
 423     -22.50      -1.90
 424     -26.00      -2.30
 425     -26.70      -2.20
 426     -26.20      -2.30
 427     -25.10      -1.90
 428     -26.30      -2.10
 429     -26.50      -2.20
 430     -26.50      -2.20
 431     -25.80      -1.90
 432     -24.60      -1.70
 433     -23.60      -1.90
 434     -25.60      -2.20
 435     -25.40      -1.90
 436     -25.40      -2.30
 437     -25.50      -1.70
 438     -26.10      -2.10
 439     -26.10      -2.10
 440     -24.50      -2.30
 441     -23.60      -1.70
 442     -23.30      -1.70
 443     -22.50      -1.90
 444     -25.10      -1.70
 445     -25.10      -1.70
 446     -21.40      -1.70
 447     -24.20      -2.00
 448     -25.10      -1.90
 449     -24.50      -1.70
 450     -26.20      -1.70
 451     -26.50      -2.20
 452     -26.30      -2.10
 453     -24.00      -2.00
 454     -26.30      -2.10
 455     -25.00      -1.70
 456     -26.20      -1.70
 457     -24.60      -1.70
 458     -24.00      -1.90
 459     -25.80      -1.90
 460     -26.50      -2.20
 461     -25.20      -1.90
 462     -26.00      -1.70
 463     -24.90      -1.70
 464     -26.20      -1.70
 465     -25.10      -1.70
 466     -26.10      -2.10
 467     -22.40      -0.50
 468     -26.00      -1.70
 469     -26.50      -2.20
 470     -24.40      -2.10
 471     -24.80      -1.90
 472     -24.20      -1.70
 473     -23.40      -1.70
 474     -25.00      -1.70
 475     -26.00      -1.70
 476     -19.20      -2.00
 477     -21.30      -1.70
 478     -21.50      -2.30
 479     -24.50      -1.70
 480     -26.70      -2.20
 481     -22.50      -1.70
 482     -24.70      -1.90
 483     -23.50      -1.70
 484     -25.10      -1.70
 485     -26.70      -2.20
 486     -25.40      -1.70
 487     -26.00      -1.70
 488     -24.40      -2.00
 489     -23.70      -1.70
 490     -23.10      -2.10
 491     -26.00      -2.30
 492     -24.70      -1.90
 493     -24.10      -1.70
 494     -26.70      -2.20
 495     -26.70      -2.20
 496     -26.10      -2.10
 497     -26.50      -2.20
 498     -25.80      -1.90
 499     -25.20      -1.90
 500     -21.80      -1.70
 501     -26.50      -2.20
 502     -16.60      -1.90
 503     -25.70      -2.20
 504     -24.20      -1.70
 505     -26.00      -2.30
 506     -26.30      -2.10
 507     -21.50      -1.90
 508     -24.50      -1.70
 509     -25.40      -2.30
 510     -26.30      -2.10
 511     -21.10      -2.10
 512     -26.70      -2.20
 513     -26.50      -2.20
 514     -24.90      -1.70
 515     -26.70      -2.20
 516     -25.40      -2.30
 517     -25.50      -2.20
 518     -21.60      -1.90
 519     -22.60      -1.70
 520     -25.40      -1.90
 521     -26.30      -2.10
 522     -23.70      -2.40
 523     -23.80      -2.30
 524     -23.30      -1.90
 525     -26.50      -2.20
 526     -26.50      -2.20
 527     -26.10      -2.10
 528     -23.70      -2.30
 529     -26.70      -2.20
 530     -25.20      -1.70
 531     -24.60      -2.20
 532     -24.60      -1.70
 533     -23.50      -1.70
 534     -26.50      -2.20
 535     -25.60      -1.70
 536     -23.40      -1.70
 537     -25.30      -1.90
 538     -24.60      -2.10
 539     -25.40      -1.70
 540     -26.70      -2.20
 541     -22.50      -1.70
 542     -22.50      -1.70
 543     -25.60      -2.30
 544     -25.60      -2.20
 545     -24.10      -1.70
 546     -25.00      -1.70
 547     -23.40      -2.20
 548     -23.30      -2.10
 549     -25.20      -1.90
 550     -26.20      -1.70
 551     -24.80      -2.20
 552     -26.10      -2.10
 553     -26.50      -2.20
 554     -26.20      -2.30
 555     -24.00      -2.30
 556     -21.70      -2.00
 557     -24.60      -2.20
 558     -25.40      -1.90
 559     -24.60      -1.70
 560     -24.90      -1.90
 561     -25.80      -1.90
 562     -22.10      -2.30
 563     -26.00      -2.30
 564     -23.90      -1.70
 565     -19.20      -1.70
 566     -26.00      -1.70
 567     -23.30      -2.00
 568     -21.80      -1.70
 569     -25.80      -1.90
 570     -22.50      -2.50
 571     -21.60      -1.80
 572     -24.40      -1.90
 573     -25.40      -2.30
 574     -24.40      -2.00
 575     -22.30      -1.70
 576     -25.50      -1.70
 577     -24.50      -2.30
 578     -26.20      -1.70
 579     -24.90      -1.70
 580     -25.00      -1.70
 581     -26.70      -2.20
 582     -26.70      -2.20
 583     -25.10      -1.90
 584     -17.70      -1.70
 585     -25.50      -2.20
 586     -25.60      -1.90
 587     -26.00      -1.70
 588     -25.00      -1.70
 589     -25.50      -2.20
 590     -26.00      -1.70
 591     -22.90      -2.40
 592     -26.20      -2.30
 593     -23.80      -1.70
 594     -25.30      -1.90
 595     -26.30      -2.10
 596     -23.50      -1.00
 597     -26.70      -2.20
 598     -22.60      -2.10
 599     -25.50      -2.20
 600     -26.50      -2.20
 601     -26.00      -1.70
 602     -25.60      -1.90
 603     -22.80      -1.70
 604     -21.80      -1.70
 605     -20.00      -1.70
 606     -26.50      -2.20
 607     -23.40      -1.70
 608     -25.00      -1.70
 609     -25.70      -2.20
 610     -24.00      -2.30
 611     -26.30      -2.10
 612     -26.30      -2.10
 613     -24.10      -2.30
 614     -25.00      -1.70
 615     -26.50      -2.20
 616     -19.60      -2.20
 617     -25.40      -1.70
 618     -26.10      -2.10
 619     -20.60      -1.70
 620     -26.70      -2.20
 621     -26.30      -2.10
 622     -23.40      -2.20
 623     -26.50      -2.20
 624     -19.20      -2.10
 625     -26.30      -2.10
 626     -25.50      -2.20
 627     -24.00      -2.30
 628     -18.00      -1.70
 629     -22.20      -2.10
 630     -24.50      -1.90
 631     -24.10      -1.70
 632     -24.50      -2.30
 633     -20.10      -0.80
 634     -26.70      -2.20
 635     -25.10      -1.70
 636     -24.40      -1.70
 637     -23.90      -1.70
 638     -26.00      -1.70
 639     -24.30      -1.90
 640     -22.60      -1.00
 641     -23.80      -1.90
 642     -24.80      -1.90
 643     -22.10      -1.70
 644     -22.90      -1.70
 645     -25.60      -1.70
 646     -21.70      -1.90
 647     -24.60      -1.70
 648     -26.00      -1.70
 649     -20.30      -2.00
 650     -26.00      -1.70
 651     -24.60      -2.10
 652     -26.20      -1.70
 653     -20.40      -2.10
 654     -26.50      -2.20
 655     -21.10      -1.70
 656     -22.00      -2.40
 657     -25.50      -2.20
 658     -23.00      -1.70
 659     -25.70      -2.20
 660     -23.80      -2.30
 661     -25.60      -1.70
 662     -25.10      -1.70
 663     -25.70      -2.20
 664     -25.20      -1.90
 665     -26.50      -2.20
 666     -24.10      -1.70
 667     -24.70      -1.90
 668     -26.00      -2.30
 669     -26.50      -2.20
 670     -25.20      -1.90
 671     -20.20      -1.90
 672     -24.00      -1.70
 673     -26.30      -2.10
 674     -25.50      -1.70
 675     -25.40      -1.70
 676     -25.10      -1.70
 677     -21.90      -0.50
 678     -23.40      -2.00
 679     -25.00      -1.70
 680     -26.00      -1.70
 681     -25.50      -1.70
 682     -21.90      -2.30
 683     -23.40      -2.00
 684     -26.20      -2.30
 685     -18.40      -1.70
 686     -23.00      -1.70
 687     -24.10      -1.90
 688     -24.30      -2.30
 689     -25.60      -1.70
 690     -25.50      -1.70
 691     -21.60      -1.70
 692     -21.60      -2.40
 693     -23.00      -1.70
 694     -22.80      -2.30
 695     -24.90      -2.30
 696     -24.50      -1.70
 697     -19.50      -1.70
 698     -24.50      -1.70
 699     -20.80      -1.90
 700     -26.70      -2.20
 701     -26.30      -2.10
 702     -23.40      -2.30
 703     -24.90      -1.70
 704     -25.60      -1.90
 705     -21.10      -1.70
 706     -26.30      -2.10
 707     -26.10      -2.10
 708     -25.70      -2.20
 709     -26.50      -2.20
 710     -25.40      -1.90
 711     -25.20      -2.10
 712     -24.30      -1.70
 713     -26.50      -2.20
 714     -25.40      -2.30
 715     -26.20      -1.70
 716     -26.70      -2.20
 717     -25.80      -1.90
 718     -25.00      -1.70
 719     -25.70      -2.20
 720     -26.50      -2.20
 721     -26.70      -2.20
 722     -26.50      -2.20
 723     -25.10      -1.70
 724     -26.30      -2.10
 725     -25.40      -1.90
 726     -24.60      -2.20
 727     -24.60      -1.70
 728     -26.50      -2.20
 729     -26.10      -2.10
 730     -26.70      -2.20
 731     -23.80      -1.70
 732     -26.50      -2.20
 733     -24.90      -1.90
 734     -25.50      -2.20
 735     -25.60      -1.70
 736     -23.60      -1.90
 737     -26.50      -2.20
 738     -22.50      -1.70
 739     -26.30      -2.10
 740     -23.10      -2.40
 741     -26.10      -2.10
 742     -25.70      -2.20
 743     -25.10      -1.70
 744     -25.20      -1.90
 745     -23.80      -1.70
 746     -25.60      -1.70
 747     -26.20      -2.30
 748     -26.30      -2.10
 749     -25.00      -1.70
 750     -25.10      -1.70
 751     -21.90      -2.20
 752     -23.30      -1.70
 753     -26.50      -2.20
 754     -25.50      -2.20
 755     -22.60      -2.70
 756     -21.80      -1.00
 757     -25.60      -1.70
 758     -19.50      -1.70
 759     -25.70      -2.20
 760     -24.40      -3.90
 761     -22.60      -1.70
 762     -25.50      -1.70
 763     -22.40      -2.00
 764     -21.40      -3.80
 765     -24.60      -1.70
 766     -24.90      -1.90
 767     -25.50      -1.70
 768     -25.10      -1.70
 769     -25.30      -1.90
 770     -26.10      -2.10
 771     -26.20      -2.30
 772     -26.70      -2.20
 773     -23.30      -1.90
 774     -25.20      -1.70
 775     -22.40      -2.30
 776     -26.20      -1.70
 777     -24.00      -1.90
 778     -21.20      -1.70
 779     -26.70      -2.20
 780     -24.90      -2.30
 781     -26.20      -2.30
 782     -26.20      -2.30
 783     -19.10      -2.10
 784     -25.60      -1.90
 785     -25.10      -1.70
 786     -26.00      -2.30
 787     -23.40      -2.40
 788     -23.00      -1.70
 789     -25.60      -2.20
 790     -26.00      -1.70
 791     -25.50      -1.70
 792     -23.80      -1.70
 793     -22.70      -2.40
 794     -22.90      -1.70
 795     -25.80      -1.90
 796     -26.30      -2.10
 797     -21.70      -1.90
 798     -25.50      -1.70
 799     -25.80      -1.90
 800     -24.20      -1.70
 801     -21.90      -1.70
 802     -18.50      -1.70
 803     -23.90      -2.10
 804     -21.10      -2.10
 805     -25.60      -2.30
 806     -26.00      -1.70
 807     -26.70      -2.20
 808     -20.50      -2.10
 809     -22.20      -1.70
 810     -23.90      -1.70
 811     -25.50      -1.70
 812     -26.20      -2.30
 813     -25.60      -1.70
 814     -26.20      -2.30
 815     -25.10      -2.30
 816     -24.60      -1.70
 817     -24.60      -1.70
 818     -25.60      -1.90
 819     -26.70      -2.20
 820     -26.70      -2.20
 821     -20.10      -1.70
 822     -26.70      -2.20
 823     -25.00      -1.70
 824     -23.70      -1.70
 825     -24.50      -1.90
 826     -26.70      -2.20
 827     -26.70      -2.20
 828     -26.50      -2.20
 829     -25.00      -1.70
 830     -24.10      -1.70
 831     -25.50      -1.70
 832     -24.60      -1.70
 833     -26.50      -2.20
 834     -25.10      -1.70
 835     -21.60      -2.20
 836     -25.80      -1.90
 837     -25.30      -1.90
 838     -25.10      -1.90
 839     -19.60      -0.80
 840     -24.40      -1.70
 841     -26.30      -2.10
 842     -26.70      -2.20
 843     -24.00      -2.30
 844     -22.50      -1.70
 845     -25.80      -1.90
 846     -25.40      -1.70
 847     -26.50      -2.20
 848     -25.40      -2.30
 849     -25.00      -1.70
 850     -23.50      -1.70
 851     -22.10      -1.90
 852     -26.20      -2.30
 853     -25.00      -1.70
 854     -26.00      -2.30
 855     -25.10      -1.70
 856     -24.50      -1.90
 857     -24.20      -1.70
 858     -25.10      -1.70
 859     -26.70      -2.20
 860     -26.00      -1.70
 861     -26.20      -2.30
 862     -23.50      -1.70
 863     -26.20      -2.30
 864     -23.10      -2.40
 865     -24.80      -1.90
 866     -26.50      -2.20
 867     -21.60      -1.70
 868     -26.70      -2.20
 869     -26.20      -1.70
 870     -26.20      -2.30
 871     -21.90      -1.70
 872     -24.00      -2.30
 873     -21.60      -1.70
 874     -26.10      -2.10
 875     -21.20      -1.70
 876     -24.00      -2.20
 877     -24.50      -1.90
 878     -26.50      -2.20
 879     -24.00      -1.90
 880     -20.90      -1.70
 881     -24.50      -1.70
 882     -25.60      -1.90
 883     -24.80      -2.20
 884     -26.50      -2.20
 885     -26.70      -2.20
 886     -24.90      -1.90
 887     -24.00      -1.70
 888     -23.00      -1.70
 889     -26.00      -1.70
 890     -25.40      -1.70
 891     -26.30      -2.10
 892     -26.00      -1.70
 893     -24.30      -1.70
 894     -26.00      -2.30
 895     -21.80      -1.90
 896     -25.70      -2.20
 897     -25.60      -1.90
 898     -23.00      -2.00
 899     -25.50      -1.70
 900     -22.70      -3.90
 901     -20.60      -1.70
 902     -25.10      -2.30
 903     -25.60      -1.70
 904     -24.00      -1.70
 905     -22.60      -1.70
 906     -21.50      -1.90
 907     -24.60      -2.10
 908     -24.40      -2.10
 909     -23.50      -1.90
 910     -25.60      -2.30
 911     -25.50      -1.70
 912     -24.90      -2.30
 913     -26.30      -2.10
 914     -26.50      -2.20
 915     -25.00      -1.70
 916     -22.00      -2.10
 917     -19.90      -1.70
 918     -25.00      -1.70
 919     -22.90      -1.70
 920     -23.70      -1.70
 921     -21.80      -1.90
 922     -25.00      -1.70
 923     -24.30      -1.90
 924     -25.80      -1.90
 925     -26.00      -2.30
 926     -23.10      -1.70
 927     -20.90      -2.20
 928     -26.70      -2.20
 929     -26.00      -2.30
 930     -26.50      -2.20
 931     -26.30      -2.10
 932     -23.90      -1.70
 933     -24.70      -1.90
 934     -23.30      -1.70
 935     -21.20      -1.70
 936     -26.70      -2.20
 937     -26.20      -1.70
 938     -24.50      -2.30
 939     -23.60      -1.70
 940     -26.00      -2.30
 941     -25.40      -2.30
 942     -24.80      -1.70
 943     -25.50      -2.20
 944     -26.50      -2.20
 945     -22.90      -1.90
 946     -24.60      -2.10
 947     -22.20      -0.80
 948     -26.30      -2.10
 949     -24.20      -1.90
 950     -26.70      -2.20
 951     -25.10      -1.90
 952     -26.10      -2.10
 953     -21.60      -2.10
 954     -26.20      -1.70
 955     -25.10      -1.70
 956     -25.00      -1.70
 957     -26.20      -2.30
 958     -25.40      -1.90
 959     -25.40      -1.70
 960     -24.60      -2.10
 961     -22.90      -1.70
 962     -25.60      -2.30
 963     -26.00      -1.70
 964     -24.20      -1.70
 965     -22.80      -1.70
 966     -25.40      -1.90
 967     -25.10      -1.90
 968     -24.80      -1.70
 969     -24.80      -1.90
 970     -26.70      -2.20
 971     -23.70      -2.30
 972     -24.60      -3.90
 973     -25.10      -1.70
 974     -26.50      -2.20
 975     -26.20      -2.30
 976     -25.60      -1.70
 977     -26.70      -2.20
 978     -26.00      -2.30
 979     -24.90      -1.90
 980     -26.70      -2.20
 981     -26.20      -2.30
 982     -25.50      -2.20
 983     -24.80      -2.20
 984     -24.90      -1.70
 985     -25.60      -2.30
 986     -25.30      -1.90
 987     -23.20      -2.00
 988     -26.50      -2.20
 989     -21.50      -2.30
 990     -25.60      -1.70
 991     -19.70      -1.70
 992     -26.50      -2.20
 993     -26.00      -2.30
 994     -24.80      -2.20
 995     -26.30      -2.10
 996     -26.10      -2.10
 997     -24.00      -1.70
 998     -25.40      -1.90
 999     -23.10      -2.00
1000     -21.20      -1.90
